fastq_ftp	sra_ftp	experiment_accession	scientific_name	experiment_title	run_accession	secondary_study_accession	study_accession	submitted_format	study_title	sample_accession	fastq_aspera	sample_title	tax_id	submitted_ftp
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/026/SRR11452226/SRR11452226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/026/SRR11452226/SRR11452226_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/026/SRR11452226	SRX8030012	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata planulae extra low  pH treamtent	SRR11452226	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486804	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/026/SRR11452226/SRR11452226_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/026/SRR11452226/SRR11452226_2.fastq.gz	365_planulae_extra_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/027/SRR11452227/SRR11452227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/027/SRR11452227/SRR11452227_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/027/SRR11452227	SRX8030011	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata planulae extra low  pH treamtent	SRR11452227	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486803	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/027/SRR11452227/SRR11452227_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/027/SRR11452227/SRR11452227_2.fastq.gz	363_planulae_extra_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/028/SRR11452228/SRR11452228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/028/SRR11452228/SRR11452228_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/028/SRR11452228	SRX8030010	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata planulae ambient pH treamtent	SRR11452228	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486802	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/028/SRR11452228/SRR11452228_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/028/SRR11452228/SRR11452228_2.fastq.gz	361_planulae_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/029/SRR11452229/SRR11452229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/029/SRR11452229/SRR11452229_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/029/SRR11452229	SRX8030009	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata fertilized embryos low pH treatment	SRR11452229	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486766	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/029/SRR11452229/SRR11452229_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/029/SRR11452229/SRR11452229_2.fastq.gz	128_fert_embryo_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/030/SRR11452230/SRR11452230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/030/SRR11452230/SRR11452230_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/030/SRR11452230	SRX8030008	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata planulae ambient pH treamtent	SRR11452230	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486801	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/030/SRR11452230/SRR11452230_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/030/SRR11452230/SRR11452230_2.fastq.gz	359_planulae_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/031/SRR11452231/SRR11452231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/031/SRR11452231/SRR11452231_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/031/SRR11452231	SRX8030007	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata blastula ambient pH treamtent	SRR11452231	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486800	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/031/SRR11452231/SRR11452231_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/031/SRR11452231/SRR11452231_2.fastq.gz	221_blastula_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/032/SRR11452232/SRR11452232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/032/SRR11452232/SRR11452232_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/032/SRR11452232	SRX8030006	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata blastula ambient pH treamtent	SRR11452232	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486799	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/032/SRR11452232/SRR11452232_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/032/SRR11452232/SRR11452232_2.fastq.gz	218_blastula_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/033/SRR11452233/SRR11452233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/033/SRR11452233/SRR11452233_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/033/SRR11452233	SRX8030005	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata morulae ambient pH treamtent	SRR11452233	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486798	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/033/SRR11452233/SRR11452233_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/033/SRR11452233/SRR11452233_2.fastq.gz	215_morulae_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/034/SRR11452234/SRR11452234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/034/SRR11452234/SRR11452234_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/034/SRR11452234	SRX8030004	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata morulae ambient pH treamtent	SRR11452234	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486797	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/034/SRR11452234/SRR11452234_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/034/SRR11452234/SRR11452234_2.fastq.gz	212_morulae_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/035/SRR11452235/SRR11452235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/035/SRR11452235/SRR11452235_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/035/SRR11452235	SRX8030003	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata gastrulation extra  low  pH treatment	SRR11452235	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486796	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/035/SRR11452235/SRR11452235_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/035/SRR11452235/SRR11452235_2.fastq.gz	186_gastrula_extra_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/036/SRR11452236/SRR11452236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/036/SRR11452236/SRR11452236_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/036/SRR11452236	SRX8030002	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata gastrulation low  pH treatment	SRR11452236	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486795	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/036/SRR11452236/SRR11452236_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/036/SRR11452236/SRR11452236_2.fastq.gz	185_gastrula_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/037/SRR11452237/SRR11452237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/037/SRR11452237/SRR11452237_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/037/SRR11452237	SRX8030001	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata gastrulation ambient pH treatment	SRR11452237	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486794	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/037/SRR11452237/SRR11452237_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/037/SRR11452237/SRR11452237_2.fastq.gz	184_gastrula_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/038/SRR11452238/SRR11452238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/038/SRR11452238/SRR11452238_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/038/SRR11452238	SRX8030000	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata gastrulation low  pH treatment	SRR11452238	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486793	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/038/SRR11452238/SRR11452238_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/038/SRR11452238/SRR11452238_2.fastq.gz	183_gastrula_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/039/SRR11452239/SRR11452239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/039/SRR11452239/SRR11452239_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/039/SRR11452239	SRX8029999	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata gastrulation extra  low  pH treatment	SRR11452239	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486792	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/039/SRR11452239/SRR11452239_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/039/SRR11452239/SRR11452239_2.fastq.gz	182_gastrula_extra_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/040/SRR11452240/SRR11452240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/040/SRR11452240/SRR11452240_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/040/SRR11452240	SRX8029998	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata fertilized embryos ambient pH treatment	SRR11452240	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486765	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/040/SRR11452240/SRR11452240_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/040/SRR11452240/SRR11452240_2.fastq.gz	127_fert_embryo_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/041/SRR11452241/SRR11452241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/041/SRR11452241/SRR11452241_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/041/SRR11452241	SRX8029997	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata gastrulation low  pH treatment	SRR11452241	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486791	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/041/SRR11452241/SRR11452241_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/041/SRR11452241/SRR11452241_2.fastq.gz	181_gastrula_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/042/SRR11452242/SRR11452242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/042/SRR11452242/SRR11452242_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/042/SRR11452242	SRX8029996	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata gastrulation ambient pH treatment	SRR11452242	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486790	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/042/SRR11452242/SRR11452242_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/042/SRR11452242/SRR11452242_2.fastq.gz	180_gastrula_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/043/SRR11452243/SRR11452243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/043/SRR11452243/SRR11452243_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/043/SRR11452243	SRX8029995	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata gastrulation ambient pH treatment	SRR11452243	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486789	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/043/SRR11452243/SRR11452243_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/043/SRR11452243/SRR11452243_2.fastq.gz	179_gastrula_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/044/SRR11452244/SRR11452244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/044/SRR11452244/SRR11452244_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/044/SRR11452244	SRX8029994	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata prawn chip extra  low pH treatment	SRR11452244	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486788	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/044/SRR11452244/SRR11452244_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/044/SRR11452244/SRR11452244_2.fastq.gz	169_prawn_chip_extra_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/045/SRR11452245/SRR11452245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/045/SRR11452245/SRR11452245_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/045/SRR11452245	SRX8029993	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata prawn chip low pH treatment	SRR11452245	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486787	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/045/SRR11452245/SRR11452245_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/045/SRR11452245/SRR11452245_2.fastq.gz	168_prawn_chip_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/046/SRR11452246/SRR11452246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/046/SRR11452246/SRR11452246_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/046/SRR11452246	SRX8029992	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata prawn chip ambient pH treatment	SRR11452246	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486786	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/046/SRR11452246/SRR11452246_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/046/SRR11452246/SRR11452246_2.fastq.gz	167_prawn_chip_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/047/SRR11452247/SRR11452247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/047/SRR11452247/SRR11452247_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/047/SRR11452247	SRX8029991	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata prawn chip low pH treatment	SRR11452247	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486785	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/047/SRR11452247/SRR11452247_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/047/SRR11452247/SRR11452247_2.fastq.gz	166_prawn_chip_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/048/SRR11452248/SRR11452248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/048/SRR11452248/SRR11452248_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/048/SRR11452248	SRX8029990	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata prawn chip extra  low pH treatment	SRR11452248	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486784	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/048/SRR11452248/SRR11452248_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/048/SRR11452248/SRR11452248_2.fastq.gz	165_prawn_chip_extra_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/049/SRR11452249/SRR11452249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/049/SRR11452249/SRR11452249_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/049/SRR11452249	SRX8029989	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata prawn chip low pH treatment	SRR11452249	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486783	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/049/SRR11452249/SRR11452249_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/049/SRR11452249/SRR11452249_2.fastq.gz	164_prawn_chip_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/050/SRR11452250/SRR11452250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/050/SRR11452250/SRR11452250_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/050/SRR11452250	SRX8029988	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata prawn chip ambient pH treatment	SRR11452250	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486782	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/050/SRR11452250/SRR11452250_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/050/SRR11452250/SRR11452250_2.fastq.gz	163_prawn_chip_ambient	46704	
