flybase_transcript_id	pfam	pfam_start	pfam_end
FBtr0078779	NA	NA	NA
FBtr0078784	PF02466	14	122
FBtr0078785	PF05434	91	226
FBtr0078786	NA	NA	NA
FBtr0078787	PF01192	54	107
FBtr0078789	PF05281	40	270
FBtr0078792	PF00240	169	234
FBtr0078792	PF16455	38	141
FBtr0078793	PF00069	68	285
FBtr0078794	PF02949	70	476
FBtr0078795	PF00650	106	250
FBtr0078797	PF02949	148	439
FBtr0078798	PF03142	746	948
FBtr0078800	PF03142	746	948
FBtr0078801	NA	NA	NA
FBtr0078802	NA	NA	NA
FBtr0078803	PF00781	205	346
FBtr0078804	PF00781	205	346
FBtr0078805	PF00227	56	241
FBtr0078806	PF00227	56	241
FBtr0078807	PF02815	39	143
FBtr0078810	PF01476	329	371
FBtr0078810	PF07534	1134	1269
FBtr0078811	PF01476	329	371
FBtr0078811	PF07534	1134	1269
FBtr0078812	PF01476	84	126
FBtr0078812	PF07534	919	1054
FBtr0078813	PF07534	733	868
FBtr0078814	PF07534	77	212
FBtr0078815	PF07534	131	266
FBtr0078816	PF07534	56	191
FBtr0078817	PF07534	74	209
FBtr0078818	PF01476	84	126
FBtr0078818	PF07534	897	1032
FBtr0078819	NA	NA	NA
FBtr0078820	PF02466	13	120
FBtr0078821	PF00702	9	213
FBtr0078822	PF00112	255	472
FBtr0078822	PF08246	169	226
FBtr0078823	PF00112	394	611
FBtr0078823	PF08246	308	365
FBtr0078824	NA	NA	NA
FBtr0078825	PF02493	64	87
FBtr0078825	PF02493	88	109
FBtr0078825	PF02493	111	132
FBtr0078825	PF02493	134	153
FBtr0078827	PF00004	329	462
FBtr0078827	PF09336	535	570
FBtr0078827	PF17862	484	519
FBtr0078828	PF03435	8	139
FBtr0078829	PF03435	8	139
FBtr0078830	PF03435	8	139
FBtr0078831	PF00227	47	228
FBtr0078836	PF00096	291	315
FBtr0078836	PF00096	351	375
FBtr0078836	PF18366	205	253
FBtr0078837	PF00004	484	593
FBtr0078837	PF00533	234	309
FBtr0078837	PF08519	743	895
FBtr0078841	PF06585	6	244
FBtr0078842	PF01239	124	151
FBtr0078842	PF01239	160	184
FBtr0078842	PF01239	195	220
FBtr0078842	PF01239	241	267
FBtr0078843	NA	NA	NA
FBtr0078844	NA	NA	NA
FBtr0078846	NA	NA	NA
FBtr0078847	PF06585	9	246
FBtr0078848	PF06585	11	245
FBtr0078849	PF00179	8	144
FBtr0078852	NA	NA	NA
FBtr0078854	PF00001	302	847
FBtr0078855	PF00001	302	847
FBtr0078856	PF05669	20	112
FBtr0078857	PF05669	20	112
FBtr0078859	PF00858	39	546
FBtr0078860	PF02985	909	935
FBtr0078860	PF13513	373	427
FBtr0078860	PF18808	269	358
FBtr0078860	PF18829	772	868
FBtr0078861	PF06911	325	509
FBtr0078868	PF03985	27	425
FBtr0078870	PF00132	269	302
FBtr0078870	PF00483	13	238
FBtr0078871	PF00132	269	302
FBtr0078871	PF00483	13	238
FBtr0078872	PF07289	19	372
FBtr0078873	NA	NA	NA
FBtr0078874	NA	NA	NA
FBtr0078875	NA	NA	NA
FBtr0078876	PF04005	1	276
FBtr0078880	NA	NA	NA
FBtr0078881	PF00096	157	180
FBtr0078881	PF00096	267	288
FBtr0078881	PF00096	322	344
FBtr0078881	PF00096	350	372
FBtr0078881	PF12874	294	313
FBtr0078891	PF01431	557	762
FBtr0078891	PF05649	106	496
FBtr0078892	PF01398	6	109
FBtr0078892	PF13012	159	274
FBtr0078893	PF05485	6	83
FBtr0078894	PF13865	360	417
FBtr0078895	PF13865	360	417
FBtr0078896	NA	NA	NA
FBtr0078897	PF05835	2	132
FBtr0078898	PF05835	2	132
FBtr0078899	PF05835	2	132
FBtr0078900	PF05835	2	129
FBtr0078901	PF05835	2	132
FBtr0078902	PF05835	2	121
FBtr0078903	PF00089	128	384
FBtr0078903	PF12032	29	81
FBtr0078907	NA	NA	NA
FBtr0078908	NA	NA	NA
FBtr0078909	NA	NA	NA
FBtr0078913	PF03820	14	321
FBtr0078914	PF03820	14	321
FBtr0078915	PF03820	14	321
FBtr0078916	PF03820	14	321
FBtr0078917	PF00041	946	1037
FBtr0078917	PF00041	1066	1141
FBtr0078917	PF00041	1156	1244
FBtr0078917	PF00041	1259	1346
FBtr0078917	PF00047	855	937
FBtr0078917	PF00059	158	224
FBtr0078917	PF13927	364	450
FBtr0078917	PF13927	584	644
FBtr0078917	PF13927	660	738
FBtr0078917	PF13927	755	831
FBtr0078919	PF10272	17	386
FBtr0078921	PF01812	34	232
FBtr0078923	PF00240	15	77
FBtr0078924	NA	NA	NA
FBtr0078925	PF01170	189	318
FBtr0078926	PF00226	708	769
FBtr0078926	PF14901	799	891
FBtr0078928	PF01846	532	579
FBtr0078928	PF05182	220	261
FBtr0078935	PF01151	29	264
FBtr0078936	PF01151	29	264
FBtr0078937	PF01151	29	264
FBtr0078938	PF01151	29	264
FBtr0078939	PF01151	28	265
FBtr0078941	PF01151	28	265
FBtr0078942	PF01151	28	264
FBtr0078943	PF03099	72	170
FBtr0078944	PF01399	425	497
FBtr0078946	PF00076	918	973
FBtr0078949	PF04190	55	310
FBtr0078950	PF12906	65	120
FBtr0078951	PF00096	195	217
FBtr0078951	PF00096	223	247
FBtr0078951	PF00096	253	275
FBtr0078953	PF12937	244	284
FBtr0078955	NA	NA	NA
FBtr0078956	NA	NA	NA
FBtr0078957	PF00168	306	411
FBtr0078957	PF00168	460	565
FBtr0078958	PF03357	18	186
FBtr0078959	PF05649	45	317
FBtr0078961	NA	NA	NA
FBtr0078962	NA	NA	NA
FBtr0078964	NA	NA	NA
FBtr0078965	PF00069	55	317
FBtr0078965	PF00226	1109	1155
FBtr0078965	PF10409	583	713
FBtr0078966	PF00069	55	317
FBtr0078966	PF00226	1109	1155
FBtr0078966	PF10409	583	713
FBtr0078967	PF00270	201	380
FBtr0078967	PF00271	417	522
FBtr0078968	PF00626	81	163
FBtr0078968	PF00626	202	267
FBtr0078968	PF00626	330	398
FBtr0078968	PF00626	586	653
FBtr0078968	PF00626	692	766
FBtr0078969	PF00626	81	163
FBtr0078969	PF00626	202	267
FBtr0078969	PF00626	330	398
FBtr0078969	PF00626	586	653
FBtr0078969	PF00626	692	766
FBtr0078971	PF00626	23	105
FBtr0078971	PF00626	144	209
FBtr0078971	PF00626	272	340
FBtr0078971	PF00626	528	595
FBtr0078971	PF00626	634	708
FBtr0078973	PF00626	81	163
FBtr0078973	PF00626	202	267
FBtr0078973	PF00626	330	398
FBtr0078973	PF00626	586	653
FBtr0078973	PF00626	692	766
FBtr0078975	PF03103	139	238
FBtr0078976	PF03103	79	170
FBtr0078977	PF02949	63	374
FBtr0078981	PF01145	70	240
FBtr0078982	PF03103	113	209
FBtr0078985	PF00076	234	298
FBtr0078986	PF01979	65	442
FBtr0078987	PF15998	88	203
FBtr0078988	NA	NA	NA
FBtr0078989	NA	NA	NA
FBtr0081562	PF10163	20	93
FBtr0081563	NA	NA	NA
FBtr0081564	NA	NA	NA
FBtr0081566	NA	NA	NA
FBtr0081567	PF00010	82	133
FBtr0081568	PF03029	7	263
FBtr0081569	PF07202	719	896
FBtr0081570	PF00041	1412	1483
FBtr0081571	PF00041	1067	1138
FBtr0081572	PF07651	24	297
FBtr0081573	NA	NA	NA
FBtr0081576	PF01585	73	115
FBtr0081576	PF13821	220	266
FBtr0081598	PF00069	30	305
FBtr0081599	PF03914	574	727
FBtr0081599	PF07540	234	330
FBtr0081601	PF00083	36	430
FBtr0081603	PF00083	33	434
FBtr0081604	NA	NA	NA
FBtr0081605	PF04925	284	462
FBtr0081606	PF01454	112	199
FBtr0081611	PF04727	125	288
FBtr0081612	PF13831	73	108
FBtr0081612	PF13832	117	233
FBtr0081613	PF13831	20	55
FBtr0081613	PF13832	64	180
FBtr0081614	NA	NA	NA
FBtr0081616	PF00412	12	68
FBtr0081616	PF00412	120	177
FBtr0081616	PF00412	222	277
FBtr0081616	PF00412	325	381
FBtr0081616	PF00412	421	478
FBtr0081617	PF00412	12	68
FBtr0081617	PF00412	120	177
FBtr0081617	PF00412	222	277
FBtr0081617	PF00412	325	381
FBtr0081617	PF00412	421	478
FBtr0081618	PF07679	33	143
FBtr0081618	PF07679	239	330
FBtr0081618	PF13927	146	220
FBtr0081619	PF07679	25	135
FBtr0081619	PF07679	231	322
FBtr0081619	PF13927	138	212
FBtr0081620	PF07679	25	135
FBtr0081620	PF07679	231	322
FBtr0081620	PF13927	138	212
FBtr0081621	PF00046	367	423
FBtr0081625	PF00046	255	311
FBtr0081625	PF03867	1	248
FBtr0081627	PF00107	179	309
FBtr0081627	PF08240	29	138
FBtr0081628	NA	NA	NA
FBtr0081631	NA	NA	NA
FBtr0081633	NA	NA	NA
FBtr0081634	PF07842	621	828
FBtr0081635	NA	NA	NA
FBtr0081636	NA	NA	NA
FBtr0081637	NA	NA	NA
FBtr0081638	PF01121	3	183
FBtr0081639	PF00091	3	213
FBtr0081639	PF03953	263	392
FBtr0081640	PF03828	455	522
FBtr0081641	PF03828	400	467
FBtr0081642	PF00076	111	179
FBtr0081642	PF13865	210	262
FBtr0081643	PF09743	7	280
FBtr0081645	PF00339	6	155
FBtr0081645	PF02752	179	309
FBtr0081646	NA	NA	NA
FBtr0081647	PF00046	298	354
FBtr0081648	PF00046	294	350
FBtr0081649	PF00046	281	337
FBtr0081650	PF00046	285	341
FBtr0081651	PF00046	294	350
FBtr0081652	PF00046	298	354
FBtr0081653	PF00046	285	341
FBtr0081654	PF00046	298	354
FBtr0081655	PF00046	298	354
FBtr0081656	PF00046	281	337
FBtr0081657	PF00046	325	381
FBtr0081658	PF00046	325	381
FBtr0081664	NA	NA	NA
FBtr0081665	PF00046	93	148
FBtr0081666	PF00046	22	77
FBtr0081667	PF00046	17	72
FBtr0081668	PF00046	98	153
FBtr0081670	PF00046	91	147
FBtr0081671	PF00046	44	100
FBtr0081672	NA	NA	NA
FBtr0081673	NA	NA	NA
FBtr0081674	NA	NA	NA
FBtr0081675	NA	NA	NA
FBtr0081676	NA	NA	NA
FBtr0081679	PF00188	27	140
FBtr0081681	PF13499	111	182
FBtr0081682	PF00188	33	144
FBtr0081684	PF00439	1484	1561
FBtr0081684	PF00439	1603	1680
FBtr0081684	PF09247	8	75
FBtr0081684	PF12157	609	1071
FBtr0081684	PF15288	1345	1375
FBtr0081685	PF00439	1484	1561
FBtr0081685	PF00439	1603	1680
FBtr0081685	PF09247	8	75
FBtr0081685	PF12157	609	1071
FBtr0081685	PF15288	1345	1375
FBtr0081686	PF00439	1484	1561
FBtr0081686	PF00439	1603	1680
FBtr0081686	PF09247	8	75
FBtr0081686	PF12157	609	1071
FBtr0081686	PF15288	1345	1375
FBtr0081687	PF00717	58	110
FBtr0081688	PF00379	37	89
FBtr0081689	PF00379	42	94
FBtr0081690	PF00379	62	114
FBtr0081691	PF00379	62	114
FBtr0081692	PF00379	62	114
FBtr0081693	PF00379	65	117
FBtr0081694	PF00379	51	103
FBtr0081695	PF00379	62	114
FBtr0081696	PF00046	504	558
FBtr0081697	PF01035	112	190
FBtr0081699	PF00764	7	404
FBtr0081700	PF13499	113	182
FBtr0081701	PF13499	114	182
FBtr0081703	PF15960	16	273
FBtr0081704	PF07679	125	216
FBtr0081704	PF13927	227	310
FBtr0081705	NA	NA	NA
FBtr0081707	PF07898	38	215
FBtr0081708	PF07898	85	185
FBtr0081709	PF01161	66	185
FBtr0081710	PF01161	47	167
FBtr0081711	PF01161	64	183
FBtr0081712	PF05206	184	428
FBtr0081712	PF05253	68	92
FBtr0081712	PF11722	20	47
FBtr0081713	PF00105	6	74
FBtr0081714	PF00069	430	681
FBtr0081714	PF00786	83	138
FBtr0081715	PF00069	430	681
FBtr0081715	PF00786	83	138
FBtr0081716	PF00069	430	681
FBtr0081716	PF00786	83	138
FBtr0081717	NA	NA	NA
FBtr0081719	PF05793	29	577
FBtr0081720	PF02225	90	151
FBtr0081720	PF13639	233	277
FBtr0081721	PF02225	90	151
FBtr0081721	PF13639	233	277
FBtr0081722	PF02225	90	151
FBtr0081722	PF13639	233	277
FBtr0081728	PF00096	307	329
FBtr0081728	PF07776	9	85
FBtr0081729	PF05536	2	631
FBtr0081730	PF02257	309	384
FBtr0081734	PF00755	76	648
FBtr0081737	PF01423	36	108
FBtr0089276	PF00046	199	255
FBtr0089277	PF00046	194	250
FBtr0089278	PF00046	194	250
FBtr0089279	PF00046	189	245
FBtr0089313	PF07571	274	361
FBtr0089685	PF01979	71	237
FBtr0089686	PF01979	71	456
FBtr0089687	PF00089	150	386
FBtr0089688	NA	NA	NA
FBtr0089741	NA	NA	NA
FBtr0089742	NA	NA	NA
FBtr0089748	PF07368	97	311
FBtr0089949	PF05010	26	236
FBtr0089950	PF05010	26	236
FBtr0089951	PF05010	26	236
FBtr0089952	PF05010	1074	1284
FBtr0089953	PF05010	1089	1299
FBtr0089955	PF05010	1007	1217
FBtr0091512	PF00043	937	999
FBtr0091512	PF02798	811	883
FBtr0091512	PF04500	18	87
FBtr0091512	PF04500	164	229
FBtr0091512	PF04500	365	432
FBtr0091512	PF04500	597	663
FBtr0091931	PF06477	75	155
FBtr0100159	PF00004	506	615
FBtr0100159	PF00533	234	309
FBtr0100159	PF08519	765	917
FBtr0100197	PF01476	71	113
FBtr0100197	PF07534	876	1011
FBtr0100199	PF01476	329	371
FBtr0100199	PF07534	1134	1269
FBtr0100433	PF00096	209	232
FBtr0100433	PF00096	266	288
FBtr0100433	PF07776	6	78
FBtr0100499	PF05835	1	73
FBtr0100500	PF05835	1	73
FBtr0100617	NA	NA	NA
FBtr0110774	PF00755	71	643
FBtr0110805	NA	NA	NA
FBtr0110806	PF07686	59	166
FBtr0110806	PF08205	282	360
FBtr0110806	PF13927	191	257
FBtr0110806	PF13927	374	454
FBtr0110807	PF07686	59	166
FBtr0110807	PF08205	282	360
FBtr0110807	PF13927	190	257
FBtr0110807	PF13927	374	454
FBtr0110932	PF01476	84	126
FBtr0110932	PF07534	889	1024
FBtr0110933	PF01476	329	371
FBtr0110933	PF07534	1178	1313
FBtr0110950	PF13927	305	392
FBtr0111206	NA	NA	NA
FBtr0111220	NA	NA	NA
FBtr0112483	NA	NA	NA
FBtr0112493	NA	NA	NA
FBtr0112501	NA	NA	NA
FBtr0112568	NA	NA	NA
FBtr0112726	NA	NA	NA
FBtr0112922	PF01607	23	78
FBtr0112922	PF01607	93	144
FBtr0112922	PF01607	169	218
FBtr0113191	PF00023	258	290
FBtr0113191	PF12796	174	256
FBtr0113192	PF04190	55	310
FBtr0113193	PF02949	70	476
FBtr0113194	PF00226	3	72
FBtr0113194	PF05207	125	178
FBtr0113195	PF00169	44	154
FBtr0113196	PF00083	83	490
FBtr0113197	PF00083	89	496
FBtr0113198	PF02225	90	151
FBtr0113198	PF13639	233	277
FBtr0113200	NA	NA	NA
FBtr0113337	PF05835	3	118
FBtr0113338	PF05835	2	129
FBtr0113340	PF05835	2	129
FBtr0113341	PF05835	2	129
FBtr0113409	NA	NA	NA
FBtr0113687	PF01380	376	503
FBtr0113687	PF01380	547	676
FBtr0113687	PF13522	79	184
FBtr0113690	PF01380	116	243
FBtr0113690	PF01380	287	416
FBtr0113692	PF01380	355	482
FBtr0113692	PF01380	526	655
FBtr0113692	PF13522	79	184
FBtr0113694	PF01380	367	494
FBtr0113694	PF01380	538	667
FBtr0113694	PF13522	79	184
FBtr0113885	PF00533	382	454
FBtr0113885	PF00644	790	989
FBtr0113885	PF00645	10	84
FBtr0113885	PF00645	114	196
FBtr0113885	PF02877	645	776
FBtr0113885	PF05406	536	615
FBtr0113885	PF08063	271	321
FBtr0113895	PF02466	13	122
FBtr0113989	PF00023	467	495
FBtr0113989	PF00651	64	163
FBtr0113989	PF01363	1055	1115
FBtr0113989	PF12796	297	393
FBtr0113989	PF12796	506	601
FBtr0113989	PF12796	679	783
FBtr0113989	PF12796	860	948
FBtr0113990	PF00023	469	497
FBtr0113990	PF00651	66	165
FBtr0113990	PF01363	1057	1117
FBtr0113990	PF12796	299	395
FBtr0113990	PF12796	508	603
FBtr0113990	PF12796	681	785
FBtr0113990	PF12796	862	950
FBtr0113991	PF00023	456	484
FBtr0113991	PF00651	53	152
FBtr0113991	PF01363	1044	1104
FBtr0113991	PF12796	286	382
FBtr0113991	PF12796	495	590
FBtr0113991	PF12796	668	772
FBtr0113991	PF12796	849	937
FBtr0114453	PF01979	71	461
FBtr0114518	PF00009	178	389
FBtr0114531	PF00043	125	188
FBtr0114531	PF02798	1	72
FBtr0273009	PF00271	357	461
FBtr0273009	PF12513	613	657
FBtr0273009	PF18114	52	166
FBtr0273009	PF18147	545	586
FBtr0273377	PF05889	62	457
FBtr0273430	PF07534	56	191
FBtr0273431	PF07534	653	788
FBtr0273432	PF01476	165	207
FBtr0273432	PF07534	970	1105
FBtr0273433	PF01476	165	207
FBtr0273433	PF07534	970	1105
FBtr0273434	PF01476	305	347
FBtr0273434	PF07534	1110	1245
FBtr0289939	PF10267	210	618
FBtr0289940	PF10267	210	618
FBtr0290206	PF00249	325	369
FBtr0290206	PF00320	432	469
FBtr0290206	PF01426	138	202
FBtr0290206	PF01448	205	257
FBtr0290206	PF17226	562	643
FBtr0290212	PF00096	24	47
FBtr0290215	PF01569	153	304
FBtr0290222	PF00805	166	202
FBtr0290222	PF00805	204	243
FBtr0290222	PF00805	284	322
FBtr0290222	PF02214	36	126
FBtr0290249	PF00069	24	279
FBtr0290250	PF00069	151	406
FBtr0290296	PF00046	24	80
FBtr0290326	PF10267	210	618
FBtr0290327	PF10267	72	480
FBtr0299709	PF00498	399	462
FBtr0299709	PF00595	844	924
FBtr0299709	PF00788	40	131
FBtr0299709	PF00788	258	347
FBtr0299709	PF01843	634	731
FBtr0299710	PF00498	399	462
FBtr0299710	PF00595	1013	1093
FBtr0299710	PF00788	40	131
FBtr0299710	PF00788	258	347
FBtr0299710	PF01843	803	900
FBtr0299947	PF08393	901	1045
FBtr0300009	PF07571	274	361
FBtr0300207	PF00067	52	547
FBtr0300261	PF10267	251	659
FBtr0300474	PF00001	302	500
FBtr0300494	NA	NA	NA
FBtr0300495	NA	NA	NA
FBtr0300525	PF00498	399	462
FBtr0300525	PF00595	1013	1093
FBtr0300525	PF00788	40	131
FBtr0300525	PF00788	258	347
FBtr0300525	PF01843	803	900
FBtr0300736	PF00004	426	559
FBtr0300736	PF17862	590	640
FBtr0300737	PF00004	366	499
FBtr0300737	PF17862	530	580
FBtr0300738	PF00004	430	563
FBtr0300738	PF17862	594	644
FBtr0300739	PF00004	362	495
FBtr0300739	PF17862	526	576
FBtr0300740	PF00004	430	563
FBtr0300740	PF17862	594	644
FBtr0300741	PF00004	366	499
FBtr0300741	PF17862	530	580
FBtr0300789	PF05835	2	136
FBtr0300904	NA	NA	NA
FBtr0300905	NA	NA	NA
FBtr0300906	PF03096	27	309
FBtr0300907	PF03096	23	304
FBtr0300909	PF03096	23	302
FBtr0300910	PF03096	23	305
FBtr0300911	PF03096	23	304
FBtr0300912	PF03096	32	208
FBtr0300913	PF03096	23	193
FBtr0300936	PF00089	137	393
FBtr0300936	PF12032	29	79
FBtr0301001	PF00014	43	89
FBtr0301244	PF00076	909	964
FBtr0301268	PF00188	98	244
FBtr0301286	PF00042	57	157
FBtr0301296	PF01541	24	103
FBtr0301296	PF11793	194	254
FBtr0301297	NA	NA	NA
FBtr0301312	PF04117	108	167
FBtr0301398	PF03142	746	948
FBtr0301437	PF00632	2815	3140
FBtr0301437	PF02825	1409	1473
FBtr0301493	PF07898	38	206
FBtr0301574	PF01743	90	213
FBtr0301574	PF12627	248	299
FBtr0301622	PF00439	1484	1561
