# submitted_item	validated_id	current_symbol
FBgn0031250	FBgn0031250	Ent1
FBgn0031752	FBgn0031752	CG9044
FBgn0026319	FBgn0026319	Traf4
FBgn0019890	FBgn0019890	Smg5
FBgn0032118	FBgn0011232	scat
FBgn0032393	FBgn0032393	Nfs1
FBgn0010382	FBgn0010382	CycE
FBgn0020240	FBgn0267488	Mcr
FBgn0023388	FBgn0023388	Dap160
FBgn0002973	FBgn0002973	numb
FBgn0031633	FBgn0031633	Fnta
FBgn0015600	FBgn0015600	toc
FBgn0019686	FBgn0019686	lok
FBgn0005771	FBgn0005771	noc
FBgn0028519	FBgn0286723	hll
FBgn0031875	FBgn0031875	CG3430
FBgn0020616	FBgn0020616	SA
FBgn0011207	FBgn0011207	pelo
FBgn0003444	FBgn0003444	smo
FBgn0015380	FBgn0015380	drl
FBgn0031769	FBgn0031769	CG9135
FBgn0031621	FBgn0031621	Elba3
FBgn0032880	FBgn0032880	TM9SF2
FBgn0032693	FBgn0032693	Cyp310a1
FBgn0032348	FBgn0032348	CG4751
FBgn0010229	FBgn0261239	Hr39
FBgn0000180	FBgn0000180	bib
FBgn0033802	FBgn0033802	CG17724
FBgn0033740	FBgn0033740	dgt5
FBgn0033454	FBgn0033454	CG1671
FBgn0034225	FBgn0034225	veil
FBgn0032993	FBgn0032993	CG18117
FBgn0004586	FBgn0259211	grh
FBgn0035026	FBgn0035026	Fcp1
FBgn0033609	FBgn0033609	Fbl6
FBgn0032886	FBgn0032886	CG9328
FBgn0003175	FBgn0003175	px
FBgn0025185	FBgn0025185	az2
FBgn0034501	FBgn0034501	CG13868
FBgn0003701	FBgn0003701	thr
FBgn0023172	FBgn0023172	RhoGEF2
FBgn0034504	FBgn0034504	CG8929
FBgn0034964	FBgn0034964	IntS1
FBgn0022764	FBgn0022764	Sin3A
FBgn0003044	FBgn0003044	Pcl
FBgn0004055	FBgn0004055	uzip
FBgn0004512	FBgn0004512	Mdr49
FBgn0033796	FBgn0259876	Cap-G
FBgn0034271	FBgn0034271	Vps50
FBgn0034280	FBgn0041585	Orai
FBgn0034447	FBgn0034447	CG7744
FBgn0016078	FBgn0016078	wun
FBgn0034393	FBgn0010651	MFS14
FBgn0025790	FBgn0025790	TBPH
FBgn0035075	FBgn0085442	NKAIN
FBgn0028552	FBgn0028552	gammaSnap1
FBgn0033631	FBgn0033631	Sod3
FBgn0034342	FBgn0063492	GstE8
FBgn0033846	FBgn0033846	mip120
FBgn0033803	FBgn0028991	seq
FBgn0033804	FBgn0028991	seq
FBgn0033804	FBgn0033802	CG17724
FBgn0033804	FBgn0053182	Kdm4B
FBgn0034424	FBgn0003254	rib
FBgn0033974	FBgn0053505	U3-55K
FBgn0033974	FBgn0053506	CG33506
FBgn0034058	FBgn0034058	Pex11ab
FBgn0027519	FBgn0021847	Ttc7
FBgn0034142	FBgn0034142	CG8306
FBgn0011704	FBgn0011704	RnrS
FBgn0033398	FBgn0020621	Pkn
FBgn0003731	FBgn0003731	Egfr
FBgn0032444	FBgn0032444	CCT4
FBgn0000142	FBgn0261823	Asx
FBgn0000606	FBgn0000606	eve
FBgn0001325	FBgn0001325	Kr
FBgn0002525	FBgn0002525	Lam
FBgn0002774	FBgn0002774	mle
FBgn0003067	FBgn0003067	Pepck1
FBgn0003082	FBgn0003082	phr
FBgn0003391	FBgn0003391	shg
FBgn0003715	FBgn0266129	lov
FBgn0003732	FBgn0284220	Top2
FBgn0003892	FBgn0003892	ptc
FBgn0003900	FBgn0003900	twi
FBgn0005624	FBgn0005624	Psc
FBgn0010109	FBgn0010109	dpn
FBgn0010228	FBgn0010228	HmgZ
FBgn0010638	FBgn0010638	Sec61beta
FBgn0011592	FBgn0011592	fra
FBgn0013272	FBgn0013272	Gp150
FBgn0013725	FBgn0013725	phyl
FBgn0013765	FBgn0013765	cnn
FBgn0014151	FBgn0004795	retn
FBgn0014870	FBgn0014870	Psi
FBgn0017414	FBgn0017414	cag
FBgn0019968	FBgn0019968	Khc-73
FBgn0031227	FBgn0031227	CG3709
FBgn0031234	FBgn0266557	kis
FBgn0031236	FBgn0266557	kis
FBgn0031238	FBgn0031238	CG3645
FBgn0031309	FBgn0031309	Tfb4
FBgn0031453	FBgn0031453	Bacc
FBgn0031477	FBgn0051694	Ifrd1
FBgn0031494	FBgn0031494	CG17219
FBgn0031582	FBgn0000547	ed
FBgn0031583	FBgn0000547	ed
FBgn0032060	FBgn0260861	Trs23
FBgn0032210	FBgn0032210	CYLD
FBgn0032392	FBgn0051864	Qtzl
FBgn0032532	FBgn0028539	Eato
FBgn0033068	FBgn0262867	Ptr
FBgn0033174	FBgn0033174	CG11125
FBgn0033183	FBgn0033183	CG1620
FBgn0033242	FBgn0026361	Septin5
FBgn0033259	FBgn0033259	Tmem63
FBgn0033276	FBgn0053087	LRP1
FBgn0033329	FBgn0040777	CG14767
FBgn0033392	FBgn0033392	CG8027
FBgn0033468	FBgn0033468	CG1418
FBgn0033483	FBgn0033483	egr
FBgn0033506	FBgn0028426	RNaseZ
FBgn0033518	FBgn0033518	Prx2540-2
FBgn0033526	FBgn0033526	Caf1-105
FBgn0033528	FBgn0033528	trsn
FBgn0033638	FBgn0033638	CG9005
FBgn0033649	FBgn0033649	pyr
FBgn0033652	FBgn0033652	ths
FBgn0033700	FBgn0020377	Sr-CII
FBgn0033714	FBgn0264560	garz
FBgn0033718	FBgn0266111	ana3
FBgn0033784	FBgn0033784	SCCRO3
FBgn0033795	FBgn0085468	ND-MWFE
FBgn0033795	FBgn0259876	Cap-G
FBgn0033920	FBgn0261269	conv
FBgn0034016	FBgn0000996	dup
FBgn0034062	FBgn0034062	CG8388
FBgn0034073	FBgn0034073	CG8414
FBgn0034170	FBgn0085444	mute
FBgn0034210	FBgn0034210	Camp
FBgn0034240	FBgn0034240	MESR4
FBgn0034249	FBgn0034249	RhoGAP54D
FBgn0034264	FBgn0034264	Dlish
FBgn0034334	FBgn0063499	GstE10
FBgn0034465	FBgn0015949	hrg
FBgn0034514	FBgn0034514	CG13427
FBgn0034527	FBgn0034527	CG9945
FBgn0034561	FBgn0008636	hbn
FBgn0034562	FBgn0008636	hbn
FBgn0034570	FBgn0034570	CG10543
FBgn0034606	FBgn0034606	ASPP
FBgn0034726	FBgn0034726	PolE4
FBgn0034764	FBgn0020257	Ppa
FBgn0034849	FBgn0034849	CG3500
FBgn0034958	FBgn0034958	CG3907
FBgn0034963	FBgn0034963	Not11
FBgn0040745	FBgn0050089	CG30089
FBgn0034644	FBgn0034644	CG10082
FBgn0034088	FBgn0262166	calypso
FBgn0034772	FBgn0028371	jbug
FBgn0019886	FBgn0284252	Letm1
FBgn0033522	FBgn0262114	RanBPM
FBgn0016762	FBgn0016762	angel
FBgn0027561	FBgn0027561	CG18659
FBgn0033988	FBgn0033988	pcs
FBgn0034347	FBgn0284257	Ttd14
FBgn0003353	FBgn0003353	sei
FBgn0033780	FBgn0010488	NAT1
FBgn0011236	FBgn0011236	ken
FBgn0031487	FBgn0025681	CG3558
FBgn0033470	FBgn0027619	eIF3j
FBgn0003074	FBgn0003074	Pgi
FBgn0034335	FBgn0034335	GstE1
FBgn0034987	FBgn0266083	ocm
FBgn0033272	FBgn0033272	RagC-D
FBgn0025830	FBgn0025830	IntS8
FBgn0031987	FBgn0031987	CG12375
FBgn0033632	FBgn0050022	CG30022
FBgn0033632	FBgn0082585	sprt
FBgn0033636	FBgn0033636	tou
FBgn0033559	FBgn0050015	CG30015
FBgn0034602	FBgn0034602	Lapsyn
FBgn0003396	FBgn0003396	shn
FBgn0004364	FBgn0287775	18w
FBgn0033915	FBgn0033915	CG8485
FBgn0034349	FBgn0261477	slim
FBgn0033923	FBgn0085408	Shrm
FBgn0035055	FBgn0050421	Usp15-31
FBgn0034479	FBgn0034479	CG8654
FBgn0034946	FBgn0034946	CG3065
FBgn0033241	FBgn0033241	CG2915
FBgn0034220	FBgn0028956	mthl3
FBgn0014877	FBgn0014877	Roe1
FBgn0033486	FBgn0033486	dmpd
FBgn0034982	FBgn0034982	Naa35
FBgn0033209	FBgn0033209	CG12107
FBgn0027912	FBgn0021795	Tapdelta
FBgn0033637	FBgn0086712	Egm
FBgn0033583	FBgn0267849	Syx7
FBgn0022073	FBgn0261560	Thor
FBgn0013762	FBgn0013762	Cdk5
FBgn0033181	FBgn0264294	Cyt-b5
FBgn0034068	FBgn0034068	casp
FBgn0031993	FBgn0264953	Piezo
FBgn0033182	FBgn0263240	Coop
FBgn0032165	FBgn0051712	CG31712
FBgn0032165	FBgn0051876	Cpr30F
FBgn0011703	FBgn0011703	RnrL
FBgn0033552	FBgn0086898	dgo
FBgn0033117	FBgn0033117	CG3358
FBgn0000054	FBgn0284249	Adf1
FBgn0034217	FBgn0034217	Lhr
FBgn0027885	FBgn0286781	cass
FBgn0022772	FBgn0286788	Orc1
FBgn0014269	FBgn0014269	prod
FBgn0033855	FBgn0033855	link
FBgn0034373	FBgn0023214	edl
FBgn0000577	FBgn0000577	en
FBgn0010314	FBgn0010314	Cks30A
FBgn0033785	FBgn0033785	Sans
FBgn0034083	FBgn0034083	lbk
FBgn0033094	FBgn0259483	Mob4
FBgn0034970	FBgn0034970	yki
FBgn0031876	FBgn0031876	Atac1
FBgn0027507	FBgn0027507	CG1344
FBgn0034585	FBgn0034585	Rbpn-5
FBgn0000578	FBgn0000578	ena
FBgn0033992	FBgn0015371	chn
FBgn0033975	FBgn0264962	Pcf11
FBgn0023081	FBgn0023081	gek
FBgn0034961	FBgn0034961	CG3163
FBgn0034650	FBgn0034650	NC2alpha
FBgn0034158	FBgn0034158	CG5522
FBgn0001123	FBgn0001123	Galphas
FBgn0031598	FBgn0031598	Vps53
FBgn0032481	FBgn0032481	CG16972
FBgn0033859	FBgn0033859	fand
FBgn0001301	FBgn0001301	kel
FBgn0034259	FBgn0034259	P32
FBgn0032683	FBgn0032683	kon
FBgn0033616	FBgn0033616	CG7745
FBgn0031884	FBgn0262872	milt
FBgn0010238	FBgn0010238	Lac
FBgn0034847	FBgn0046253	CG3502
FBgn0033413	FBgn0033413	prel
FBgn0032259	FBgn0032259	CG6144
FBgn0034275	FBgn0034275	CG5002
FBgn0034041	FBgn0050089	CG30089
FBgn0034488	FBgn0034488	Hacl
FBgn0032256	FBgn0032256	RluA-2
FBgn0015295	FBgn0015295	Shark
FBgn0034036	FBgn0050091	CG30091
FBgn0034036	FBgn0284254	Impbeta11
FBgn0010356	FBgn0010356	Taf5
FBgn0033677	FBgn0033677	CG8321
FBgn0033346	FBgn0002552	lin
FBgn0033088	FBgn0033088	PGAP3
FBgn0028563	FBgn0028563	sut1
FBgn0034643	FBgn0034643	CG10321
FBgn0015907	FBgn0267791	HnRNP-K
FBgn0033569	FBgn0033569	CG12942
FBgn0025725	FBgn0025725	alphaCOP
FBgn0039013	FBgn0039013	CG4813
FBgn0028688	FBgn0028688	Rpn7
FBgn0037360	FBgn0037360	CG2182
FBgn0036033	FBgn0040475	SH3PX1
FBgn0035394	FBgn0266918	CG32486
FBgn0022359	FBgn0022359	Sodh-2
FBgn0004885	FBgn0004885	tok
FBgn0037368	FBgn0037368	CG1239
FBgn0038071	FBgn0038071	Dtg
FBgn0027945	FBgn0027945	ppl
FBgn0037795	FBgn0040238	Best1
FBgn0011653	FBgn0011653	mas
FBgn0035656	FBgn0035656	CG10479
FBgn0038364	FBgn0262527	nsl1
FBgn0038810	FBgn0038810	Srp72
FBgn0035289	FBgn0262624	Tmhs
FBgn0035137	FBgn0035137	CG1233
FBgn0038318	FBgn0038318	CG6236
FBgn0037733	FBgn0051352	Unc-115a
FBgn0037733	FBgn0260463	Unc-115b
FBgn0039146	FBgn0040283	SMC1
FBgn0035752	FBgn0261111	BHD
FBgn0037120	FBgn0037120	CG11247
FBgn0035145	FBgn0035145	MED14
FBgn0016794	FBgn0016794	dos
FBgn0003117	FBgn0003117	pnr
FBgn0035688	FBgn0035688	fmt
FBgn0037250	FBgn0037250	CG1074
FBgn0035987	FBgn0035987	Cpsf5
FBgn0036404	unknown ID	-
FBgn0039122	FBgn0260634	eIF4G2
FBgn0039590	FBgn0039590	CG10011
FBgn0028736	FBgn0261274	Ero1L
FBgn0037373	FBgn0266672	Sec8
FBgn0036917	FBgn0020887	Su(z)12
FBgn0036558	FBgn0263601	mib1
FBgn0024832	FBgn0263351	AP-2mu
FBgn0035436	FBgn0035436	CG12016
FBgn0036772	FBgn0036772	CG5290
FBgn0038146	FBgn0038146	CG9799
FBgn0036668	FBgn0036668	Zcchc7
FBgn0039279	FBgn0046214	vig2
FBgn0038872	FBgn0038872	Nelf-A
FBgn0037515	FBgn0037515	Sp7
FBgn0003507	FBgn0003507	srp
FBgn0001257	FBgn0001257	ImpL2
FBgn0038168	FBgn0038168	omd
FBgn0035347	FBgn0266696	Svil
FBgn0036912	FBgn0001324	kto
FBgn0035235	FBgn0035235	CG7879
FBgn0038578	FBgn0038578	MED17
FBgn0037622	FBgn0037622	CG8202
FBgn0010379	FBgn0010379	Akt
FBgn0025802	FBgn0025802	Sbf
FBgn0035149	FBgn0035149	MED30
FBgn0000449	FBgn0000449	dib
FBgn0028495	FBgn0026411	Lim1
FBgn0028495	FBgn0260444	Not10
FBgn0039189	FBgn0039189	CG18528
FBgn0036914	FBgn0014037	Su(Tpl)
FBgn0036914	FBgn0052218	lncRNA:CR32218
FBgn0037810	FBgn0037810	sle
FBgn0035846	FBgn0040290	RecQ4
FBgn0037930	FBgn0037930	CG14715
FBgn0035128	FBgn0264707	RhoGEF3
FBgn0004926	FBgn0004926	eIF2beta
FBgn0021776	FBgn0021776	mira
FBgn0010173	FBgn0010173	RpA-70
FBgn0038981	FBgn0038981	CG5346
FBgn0039011	FBgn0051151	wge
FBgn0004108	FBgn0004108	Nrt
FBgn0039099	FBgn0039099	GILT2
FBgn0027512	FBgn0027512	CG10254
FBgn0039558	FBgn0039558	BCAS2
FBgn0027500	FBgn0027500	spd-2
FBgn0037007	FBgn0037007	BNIP3
FBgn0015618	FBgn0015618	Cdk8
FBgn0024326	FBgn0024326	Mkk4
FBgn0038235	FBgn0038235	CG8461
FBgn0020299	FBgn0020299	stumps
FBgn0000591	FBgn0000591	E(spl)m8-HLH
FBgn0001139	FBgn0001139	gro
FBgn0001316	FBgn0001316	klar
FBgn0039501	FBgn0039501	TTLL6B
FBgn0036052	FBgn0036052	CG10809
FBgn0035614	FBgn0029118	ScsbetaG
FBgn0002932	FBgn0002932	neur
FBgn0004629	FBgn0004629	Cys
FBgn0035236	FBgn0035236	CG12004
FBgn0038253	FBgn0265140	Meltrin
FBgn0010280	FBgn0010280	Taf4
FBgn0000216	FBgn0000216	Brd
FBgn0000411	FBgn0000411	D
FBgn0000439	FBgn0000439	Dfd
FBgn0000489	FBgn0000489	Pka-C3
FBgn0000565	FBgn0000565	MsrA
FBgn0000723	FBgn0000723	FER
FBgn0001077	FBgn0001077	ftz
FBgn0001099	FBgn0001099	gdl
FBgn0001108	FBgn0001108	DCTN1-p150
FBgn0001138	FBgn0001138	grn
FBgn0001168	FBgn0001168	h
FBgn0001204	FBgn0261434	hkb
FBgn0001233	FBgn0001233	Hsp83
FBgn0001235	FBgn0001235	hth
FBgn0001320	FBgn0001320	kni
FBgn0002183	FBgn0002183	dre4
FBgn0002354	FBgn0002354	l(3)87Df
FBgn0002629	FBgn0002629	E(spl)m4-BFM
FBgn0002631	FBgn0002631	E(spl)m5-HLH
FBgn0002633	FBgn0002633	E(spl)m7-HLH
FBgn0002781	FBgn0002781	mod(mdg4)
FBgn0003041	FBgn0003041	pbl
FBgn0003250	FBgn0003250	Rh4
FBgn0003292	FBgn0003292	rt
FBgn0003334	FBgn0003334	Scm
FBgn0003510	FBgn0003510	Sry-alpha
FBgn0003719	FBgn0003719	tld
FBgn0003720	FBgn0003720	tll
FBgn0003862	FBgn0003862	trx
FBgn0004052	FBgn0004052	Z600
FBgn0004053	FBgn0004053	zen
FBgn0004449	FBgn0004449	Ten-m
FBgn0004569	FBgn0004569	aos
FBgn0004595	FBgn0004595	pros
FBgn0004635	FBgn0004635	rho
FBgn0005585	FBgn0005585	Calr
FBgn0005696	FBgn0005696	PolA2
FBgn0010105	FBgn0010105	comm
FBgn0010333	FBgn0010333	Rac1
FBgn0010438	FBgn0010438	mtSSB
FBgn0011225	FBgn0011225	jar
FBgn0011336	FBgn0011336	Stt3B
FBgn0011723	FBgn0011723	byn
FBgn0013347	FBgn0013347	TfIIA-S
FBgn0013755	FBgn0013755	Bro
FBgn0013998	FBgn0266464	Nsf2
FBgn0014006	FBgn0014006	Ask1
FBgn0014023	FBgn0014023	mRpL47
FBgn0014143	FBgn0014143	croc
FBgn0014343	FBgn0014343	mirr
FBgn0015351	FBgn0015351	Mettl4
FBgn0015513	FBgn0015513	mbc
FBgn0015793	FBgn0015793	Rab19
FBgn0015806	FBgn0283472	S6k
FBgn0015829	FBgn0015829	TfIIEbeta
FBgn0016700	FBgn0285937	Rab1
FBgn0023395	FBgn0023395	Chd3
FBgn0024150	FBgn0024150	Ac78C
FBgn0025456	FBgn0025456	CREG
FBgn0025776	FBgn0025776	ind
FBgn0026063	FBgn0026063	KP78b
FBgn0026371	FBgn0026371	SAK
FBgn0028789	FBgn0028789	Doc1
FBgn0035116	FBgn0000541	E(bx)
FBgn0035123	FBgn0029002	miple2
FBgn0035229	FBgn0035229	pns
FBgn0035272	FBgn0035272	mRpL46
FBgn0035287	FBgn0035287	CG13937
FBgn0035334	FBgn0035334	CG8993
FBgn0035355	FBgn0035355	CG16985
FBgn0035356	FBgn0035356	CG16986
FBgn0035374	FBgn0035374	mRpS35
FBgn0035390	FBgn0035390	scramb2
FBgn0035415	FBgn0035415	CG14966
FBgn0035470	FBgn0035470	Ccz1
FBgn0035525	FBgn0261952	srw
FBgn0035526	FBgn0035526	CG1316
FBgn0035529	FBgn0035529	Fdx2
FBgn0035531	FBgn0052250	PMP34
FBgn0035531	FBgn0052251	Claspin
FBgn0035532	FBgn0035532	CG15014
FBgn0035541	FBgn0035541	CG15019
FBgn0035569	FBgn0035569	CG15876
FBgn0035570	FBgn0035570	CG13712
FBgn0035572	FBgn0035572	CG13711
FBgn0035603	FBgn0035603	Pfdn4
FBgn0035618	FBgn0003486	spo
FBgn0035625	FBgn0035625	Blimp-1
FBgn0035674	FBgn0035674	CG13295
FBgn0035704	FBgn0035704	Vps8
FBgn0035824	FBgn0035824	CG8281
FBgn0035830	FBgn0035830	CG8209
FBgn0035877	FBgn0035877	CG7083
FBgn0035898	FBgn0262719	CG43163
FBgn0035908	FBgn0024236	foi
FBgn0035954	FBgn0035954	Doc3
FBgn0036007	FBgn0036007	path
FBgn0036048	FBgn0044049	Ilp4
FBgn0036135	FBgn0036135	mRpL2
FBgn0036171	FBgn0259481	Mob2
FBgn0036193	FBgn0036193	CG14135
FBgn0036207	FBgn0036207	CG10907
FBgn0036308	FBgn0052113	Vps13D
FBgn0036317	FBgn0036317	CG10948
FBgn0036349	FBgn0036349	SNCF
FBgn0036350	FBgn0036350	CG14111
FBgn0036450	FBgn0036450	Tdrd3
FBgn0036457	FBgn0040296	Ocho
FBgn0036458	FBgn0040296	Ocho
FBgn0036503	FBgn0036503	CG13454
FBgn0036530	FBgn0041160	comm2
FBgn0036556	FBgn0036556	hzg
FBgn0036581	FBgn0036581	MED10
