flybase_gene_id	external_gene_name	refseq_mrna
FBgn0036882	CG9279	NM_168801
FBgn0036882	CG9279	NM_140867
FBgn0037120	CG11247	NM_001275260
FBgn0037120	CG11247	NM_168936
FBgn0037120	CG11247	NM_141094
FBgn0037120	CG11247	NM_001104189
FBgn0263092	CR43360	NA
FBgn0262111	f	NM_176746
FBgn0262111	f	NM_176745
FBgn0262111	f	NM_001042819
FBgn0262111	f	NM_001201731
FBgn0262111	f	NM_001201730
FBgn0262111	f	NM_078660
FBgn0262111	f	NM_001201729
FBgn0262111	f	NM_167563
FBgn0262111	f	NM_176747
FBgn0263855	BubR1	NM_058034
FBgn0050088	CG30088	NM_166113
FBgn0033247	Nup44A	NM_165582
FBgn0033247	Nup44A	NM_136499
FBgn0033247	Nup44A	NM_165583
FBgn0262413	mir-9b	NA
FBgn0267636	asRNA:CR45974	NA
FBgn0053489	CG33489	NM_206326
FBgn0053489	CG33489	NM_001274786
FBgn0031127	CG1835	NM_134560
FBgn0031127	CG1835	NM_167709
FBgn0262896	CG43251	NM_001259921
FBgn0053914	CG33914	NM_001032223
FBgn0053914	CG33914	NM_001259231
FBgn0028858	CG10839	NM_135932
FBgn0028858	CG10839	NM_001299040
FBgn0028858	CG10839	NM_001259110
FBgn0263802	lncRNA:CR43605	NA
FBgn0267522	28SrRNA-Psi:CR45862	NA
FBgn0053095	CG33095	NM_001032039
FBgn0053095	CG33095	NM_176561
FBgn0267590	asRNA:CR45928	NA
FBgn0033490	CG12917	NM_136714
FBgn0038070	CG6753	NM_141962
FBgn0085294	CG34265	NM_001104021
FBgn0267571	lncRNA:CR45911	NA
FBgn0031733	CG14006	NM_135109
FBgn0031733	CG14006	NM_001273175
FBgn0030912	CG6023	NM_133057
FBgn0030912	CG6023	NM_206780
FBgn0032416	Gr33a	NM_080363
FBgn0031139	CG11227	NM_167719
FBgn0031139	CG11227	NM_167718
FBgn0031139	CG11227	NM_134572
FBgn0261859	CG42788	NM_169609
FBgn0261859	CG42788	NM_001202293
FBgn0034081	CG10731	NM_001299548
FBgn0034081	CG10731	NM_001032251
FBgn0262389	mir-1017	NA
FBgn0037363	Atg17	NM_206434
FBgn0037363	Atg17	NM_141316
FBgn0267581	lncRNA:CR45921	NA
FBgn0053848	His3:CG33848	NM_001032187
FBgn0032929	Mcm10	NM_136253
FBgn0042199	CG13713	NM_144452
FBgn0039552	CG12426	NM_143334
FBgn0024179	wit	NM_079953
FBgn0024179	wit	NM_001274466
FBgn0267797	lncRNA:CR46122	NA
FBgn0053680	CG33680	NM_001032277
FBgn0283471	wupA	NM_078674
FBgn0283471	wupA	NM_167607
FBgn0283471	wupA	NM_001272741
FBgn0283471	wupA	NM_001258803
FBgn0283471	wupA	NM_001258805
FBgn0283471	wupA	NM_167608
FBgn0283471	wupA	NM_001258804
FBgn0283471	wupA	NM_001272740
FBgn0283471	wupA	NM_167605
FBgn0283471	wupA	NM_167604
FBgn0283471	wupA	NM_167603
FBgn0283471	wupA	NM_167606
FBgn0283471	wupA	NM_001272739
FBgn0034785	CG3649	NM_137881
FBgn0039732	CG15525	NM_143500
FBgn0038224	ATPsynE	NM_001202292
FBgn0038224	ATPsynE	NM_169579
FBgn0038224	ATPsynE	NM_142099
FBgn0040393	CG14265	NM_130694
FBgn0264776	CG44014	NM_169663
FBgn0083053	snoRNA:Psi18S-1347b	NA
FBgn0025643	CG3588	NM_001031868
FBgn0025643	CG3588	NM_001272269
FBgn0025643	CG3588	NM_166955
FBgn0025643	CG3588	NM_166956
FBgn0025643	CG3588	NM_130680
FBgn0265049	lncRNA:CR44164	NA
FBgn0038525	CG14329	NM_142379
FBgn0262397	mir-2c	NA
FBgn0020906	Jon25Bi	NM_001038784
FBgn0086078	snoRNA:Me28S-A774b	NA
FBgn0035510	Cpr64Aa	NM_139615
FBgn0034366	Atg7	NM_166298
FBgn0034366	Atg7	NM_137506
FBgn0036935	CG14186	NM_140917
FBgn0034880	ItgaPS5	NM_137964
FBgn0012017	tRNA:Tyr-GTA-1-2	NA
FBgn0265650	lncRNA:CR44457	NA
FBgn0265982	lncRNA:CR44761	NA
FBgn0034470	Obp56d	NM_001299690
FBgn0034470	Obp56d	NM_137600
FBgn0000056	Adhr	NM_001299009
FBgn0000056	Adhr	NM_001032101
FBgn0000056	Adhr	NM_058147
FBgn0262899	CG43254	NM_001260038
FBgn0262899	CG43254	NM_001275417
FBgn0261436	DhpD	NM_141182
FBgn0265805	lncRNA:CR44594	NA
FBgn0034666	CG9294	NM_206198
FBgn0033869	Cpr50Cb	NM_137057
FBgn0266929	lncRNA:CR45380	NA
FBgn0031238	CG3645	NM_134663
FBgn0031238	CG3645	NM_164377
FBgn0031238	CG3645	NM_001272880
FBgn0266215	asRNA:CR44910	NA
FBgn0037151	CG7130	NM_141123
FBgn0031462	CG2964	NM_134869
FBgn0036242	CG6793	NM_140284
FBgn0032744	Ttc19	NM_136090
FBgn0033192	Corin	NM_136453
FBgn0033192	Corin	NM_206051
FBgn0013699	mt:tRNA:Leu-TAA	NA
FBgn0010314	Cks30A	NM_057599
FBgn0262378	mir-317	NA
FBgn0038814	CG15923	NM_001275840
FBgn0038814	CG15923	NM_001104376
FBgn0259918	inaF-B	NM_001169255
FBgn0033594	CG13226	NM_136807
FBgn0027496	epsilonCOP	NM_135193
FBgn0263503	lncRNA:CR43492	NA
FBgn0267081	asRNA:CR45525	NA
FBgn0030616	RpL37a	NM_132777
FBgn0030616	RpL37a	NM_001272632
FBgn0265575	yin	NM_057799
FBgn0265575	yin	NM_001297915
FBgn0265575	yin	NM_166993
FBgn0265575	yin	NM_057800
FBgn0286871	lncRNA:CR46393	NA
FBgn0058298	CG40298	NM_001043166
FBgn0267809	asRNA:CR46134	NA
FBgn0001987	Gli	NM_165129
FBgn0001987	Gli	NM_165127
FBgn0001987	Gli	NM_057254
FBgn0001987	Gli	NM_165130
FBgn0001987	Gli	NM_165128
FBgn0267072	lncRNA:CR45516	NA
FBgn0052160	lncRNA:CR32160	NA
FBgn0038279	Sdr	NM_142151
FBgn0038279	Sdr	NM_001300402
FBgn0031306	CG4577	NM_001272926
FBgn0031306	CG4577	NM_134727
FBgn0033703	CG13170	NM_136906
FBgn0086037	snoRNA:Me28S-A2958	NA
FBgn0035949	CG13314	NM_001202144
FBgn0035949	CG13314	NM_140018
FBgn0260469	CR14578	NA
FBgn0037625	CG11768	NM_001260065
FBgn0037625	CG11768	NM_141572
FBgn0037625	CG11768	NM_001202265
FBgn0025807	Rad9	NM_140809
FBgn0025807	Rad9	NM_001104169
FBgn0264501	lncRNA:CR43900	NA
FBgn0028421	Kap3	NM_001103480
FBgn0028421	Kap3	NM_001272516
FBgn0028421	Kap3	NM_001144714
FBgn0028421	Kap3	NM_001103481
FBgn0028421	Kap3	NM_167278
FBgn0001108	DCTN1-p150	NM_079337
FBgn0011741	Arp6	NM_078610
FBgn0053093	CG33093	NM_176538
FBgn0032169	CG4709	NM_001298859
FBgn0032169	CG4709	NM_135487
FBgn0263647	CG43638	NM_001274812
FBgn0035642	CG18586	NM_139736
FBgn0035642	CG18586	NM_001274524
FBgn0265755	lncRNA:CR44562	NA
FBgn0033140	CG12836	NM_001299224
FBgn0014032	Sptr	NM_167157
FBgn0030716	CG9170	NM_206753
FBgn0030716	CG9170	NM_132867
FBgn0030716	CG9170	NM_001298383
FBgn0028663	VhaM9.7-b	NM_001275241
FBgn0028663	VhaM9.7-b	NM_141070
FBgn0051579	tRNA:Ala-AGC-2-7	NA
FBgn0030623	PPYR1	NM_132784
FBgn0027574	CG5815	NM_143280
FBgn0027574	CG5815	NM_170317
FBgn0000546	EcR	NM_165462
FBgn0000546	EcR	NM_165464
FBgn0000546	EcR	NM_001169590
FBgn0000546	EcR	NM_165465
FBgn0000546	EcR	NM_165463
FBgn0000546	EcR	NM_165461
FBgn0045852	ham	NA
FBgn0045852	ham	NM_001273614
FBgn0045852	ham	NM_001273615
FBgn0045852	ham	NM_001259152
FBgn0002930	nec	NM_080112
FBgn0260746	Ect3	NM_141885
FBgn0037930	CG14715	NM_141844
FBgn0053552	CG33552	NM_001014488
FBgn0038709	CG15025	NM_142553
FBgn0052185	edin	NM_168735
FBgn0050277	Oatp58Da	NM_137813
FBgn0027095	Manf	NM_058097
FBgn0031231	mRpL10	NM_078716
FBgn0028645	beat-Ib	NM_078855
FBgn0028645	beat-Ib	NM_001169516
FBgn0034459	TTLL6A	NM_137589
FBgn0032363	Dlg5	NM_001273456
FBgn0032363	Dlg5	NM_164967
FBgn0032363	Dlg5	NM_001273455
FBgn0032363	Dlg5	NM_135661
FBgn0031875	CG3430	NM_080707
FBgn0036207	CG10907	NM_140251
FBgn0052438	SMC5	NM_001275247
FBgn0052438	SMC5	NM_168924
FBgn0052438	SMC5	NM_141077
FBgn0052438	SMC5	NM_206419
FBgn0267292	lncRNA:CR45728	NA
FBgn0052189	CG32189	NM_168752
FBgn0030385	Ir11a	NM_132567
FBgn0046793	CG32236	NM_168101
FBgn0036428	Gbs-70E	NM_001274913
FBgn0036428	Gbs-70E	NM_140451
FBgn0036428	Gbs-70E	NM_168589
FBgn0034631	TAF1C-like	NM_137741
FBgn0265694	lncRNA:CR44501	NA
FBgn0265810	asRNA:CR44599	NA
FBgn0032067	LManIV	NM_135407
FBgn0051450	mRpS18A	NM_169226
FBgn0263035	CG43330	NM_001259956
FBgn0028979	tio	NM_001273750
FBgn0028979	tio	NM_079994
FBgn0034392	MFS15	NM_137531
FBgn0034392	MFS15	NM_166308
FBgn0032030	Wdr82	NM_135373
FBgn0032626	CG12620	NM_001273596
FBgn0032626	CG12620	NM_135984
FBgn0052570	TwdlY	NM_167540
FBgn0038774	CG5023	NM_142610
FBgn0266824	lncRNA:CR45286	NA
FBgn0050291	CG30291	NM_166417
FBgn0025638	Roc1a	NM_001297825
FBgn0025638	Roc1a	NM_001144671
FBgn0025638	Roc1a	NM_130496
FBgn0037794	CG6254	NM_141726
FBgn0039229	Saf-B	NM_001276002
FBgn0039229	Saf-B	NM_001316518
FBgn0039229	Saf-B	NM_170169
FBgn0039229	Saf-B	NM_001316517
FBgn0065064	snoRNA:Psi28S-291	NA
FBgn0017482	T3dh	NM_057861
FBgn0031675	CG9121	NM_001298681
FBgn0031675	CG9121	NM_001273152
FBgn0031675	CG9121	NM_001169413
FBgn0031675	CG9121	NM_135057
FBgn0266304	asRNA:CR44969	NA
FBgn0264502	CG43901	NM_001103478
FBgn0264502	CG43901	NM_001298172
FBgn0264502	CG43901	NM_001272505
FBgn0032348	CG4751	NM_135651
FBgn0032973	CG6675	NM_001299201
FBgn0032973	CG6675	NM_136288
FBgn0013772	Cyp6a8	NM_079025
FBgn0015286	Rala	NM_080324
FBgn0015286	Rala	NM_166986
FBgn0015286	Rala	NM_166985
FBgn0031410	CG17237	NM_134822
FBgn0051643	CG31643	NM_001298723
FBgn0051643	CG31643	NM_164674
FBgn0035142	Hipk	NM_138194
FBgn0035142	Hipk	NA
FBgn0035142	Hipk	NM_001274286
FBgn0035142	Hipk	NM_167834
FBgn0022724	Taf8	NM_078673
FBgn0262027	CR42838	NA
FBgn0038737	CG11447	NM_142578
FBgn0262431	mir-1003	NA
FBgn0035012	CG13590	NM_138075
FBgn0065107	snmRNA:128	NA
FBgn0262418	mir-6-3	NA
FBgn0034826	CG13544	NM_137917
FBgn0261631	CG42714	NM_001202124
FBgn0266896	lncRNA:CR45356	NA
FBgn0267043	CG45487	NM_001298539
FBgn0262787	CG43168	NM_001259717
FBgn0036004	Jarid2	NM_140067
FBgn0037399	Or83c	NM_079520
FBgn0025454	Cyp6g1	NM_136899
FBgn0025454	Cyp6g1	NM_001299406
FBgn0263530	mir-4917	NA
FBgn0032040	CG13386	NM_135382
FBgn0034000	CG11808	NM_137177
FBgn0023529	CG2918	NM_001169174
FBgn0023529	CG2918	NM_130639
FBgn0265688	lncRNA:CR44495	NA
FBgn0036031	CG6761	NM_140089
FBgn0036031	CG6761	NM_001274716
FBgn0012010	tRNA:Val-AAC-2-3	NA
FBgn0266222	lncRNA:CR44917	NA
FBgn0267890	CR46178	NA
FBgn0033875	CG6357	NM_137063
FBgn0039291	CG13663	NM_143094
FBgn0266858	lncRNA:CR45319	NA
FBgn0032800	CG10137	NM_136137
FBgn0032084	CG13101	NM_135420
FBgn0032084	CG13101	NM_164841
FBgn0037547	CG7910	NM_001300293
FBgn0037547	CG7910	NM_141508
FBgn0038966	pinta	NM_001300537
FBgn0038966	pinta	NM_142785
FBgn0031454	HemK2	NM_001032050
FBgn0053730	snmRNA:430d	NA
FBgn0036255	Atg12	NM_140294
FBgn0086603	snoRNA:Or-CD2	NA
FBgn0264815	Pde1c	NM_001259066
FBgn0264815	Pde1c	NM_135676
FBgn0264815	Pde1c	NM_001273466
FBgn0264815	Pde1c	NM_001144345
FBgn0264815	Pde1c	NM_001144346
FBgn0264815	Pde1c	NM_001259065
FBgn0264815	Pde1c	NM_001144348
FBgn0264815	Pde1c	NM_001144347
FBgn0264815	Pde1c	NM_001144344
FBgn0037690	Task7	NM_141634
FBgn0262572	CG43112	NM_001259333
FBgn0259145	CG42260	NM_137871
FBgn0259145	CG42260	NM_001370013
FBgn0259145	CG42260	NM_137873
FBgn0259145	CG42260	NM_001274212
FBgn0034540	Lrt	NM_001299711
FBgn0034540	Lrt	NM_137662
FBgn0033191	CG1598	NM_136452
FBgn0033555	RpS15Ab	NM_136772
FBgn0266778	lncRNA:CR45243	NA
FBgn0036266	Tsen54	NM_140302
FBgn0262200	mir-962	NA
FBgn0264868	lncRNA:CR44059	NA
FBgn0025630	Rtca	NM_001297872
FBgn0025630	Rtca	NM_130621
FBgn0035708	axed	NM_168173
FBgn0035708	axed	NM_206283
FBgn0035708	axed	NM_168174
FBgn0035708	axed	NM_001370050
FBgn0035708	axed	NM_139794
FBgn0259226	CG42326	NM_136547
FBgn0259226	CG42326	NM_001299271
FBgn0023388	Dap160	NM_001273735
FBgn0023388	Dap160	NM_001169557
FBgn0023388	Dap160	NM_057975
FBgn0023388	Dap160	NM_057974
FBgn0023388	Dap160	NM_001259189
FBgn0023388	Dap160	NM_001273734
FBgn0024806	DIP2	NM_001274264
FBgn0024806	DIP2	NM_138175
FBgn0024806	DIP2	NM_001274263
FBgn0024806	DIP2	NM_001274262
FBgn0024806	DIP2	NM_001259601
FBgn0050419	CG30419	NM_138055
FBgn0036327	CG10748	NM_140358
FBgn0029958	Pdp	NM_132176
FBgn0029958	Pdp	NM_001258638
FBgn0003386	Shaw	NM_001144310
FBgn0003386	Shaw	NM_057373
FBgn0003386	Shaw	NM_164554
FBgn0003386	Shaw	NM_001273072
FBgn0003386	Shaw	NM_001273071
FBgn0039914	mav	NM_079887
FBgn0085482	CG34453	NM_001103988
FBgn0260442	rhea	NM_001274657
FBgn0260442	rhea	NM_001259746
FBgn0260442	rhea	NM_139981
FBgn0260442	rhea	NM_001274658
FBgn0260442	rhea	NM_001259747
FBgn0260442	rhea	NM_001259745
FBgn0260442	rhea	NM_001274659
FBgn0260442	rhea	NM_001274660
FBgn0087011	CG41520	NM_001201533
FBgn0087011	CG41520	NM_001110550
FBgn0087011	CG41520	NM_001110549
FBgn0087011	CG41520	NM_001201534
FBgn0030016	Or7a	NM_078526
FBgn0264952	lncRNA:CR44121	NA
FBgn0265047	FDY	NM_001316650
FBgn0265047	FDY	NM_001370012
FBgn0038783	CG4367	NM_142618
FBgn0038783	CG4367	NM_001300492
FBgn0034093	CG15706	NM_001299549
FBgn0034093	CG15706	NM_001299550
FBgn0034093	CG15706	NM_001299552
FBgn0034093	CG15706	NM_001299551
FBgn0034093	CG15706	NM_137255
FBgn0053420	5SrRNA:CR33420	NA
FBgn0283503	Neurl4	NM_140431
FBgn0034937	fzr2	NM_138010
FBgn0035934	TrpA1	NM_001274673
FBgn0035934	TrpA1	NM_001274672
FBgn0035934	TrpA1	NM_001104084
FBgn0035934	TrpA1	NM_001274671
FBgn0035934	TrpA1	NM_140006
FBgn0036170	CG11714	NM_001031952
FBgn0036170	CG11714	NM_001316464
FBgn0036170	CG11714	NM_001274783
FBgn0264503	CG43902	NM_132380
FBgn0025809	Paf-AHalpha	NM_167461
FBgn0025809	Paf-AHalpha	NM_080350
FBgn0035756	unc-13-4A	NM_001274575
FBgn0035756	unc-13-4A	NM_139839
FBgn0011998	tRNA:Val-CAC-2-2	NA
FBgn0266868	lncRNA:CR45329	NA
FBgn0036990	mRpL15	NM_079461
FBgn0038055	trus	NM_141948
FBgn0085211	RpS28-like	NM_001103662
FBgn0031488	Ccdc85	NM_134890
FBgn0050462	ste24c	NM_001274109
FBgn0050462	ste24c	NM_001032263
FBgn0050462	ste24c	NM_001032262
FBgn0262679	CG43149	NM_001259591
FBgn0052330	tRNA:Glu-CTC-3-1	NA
FBgn0052833	CG32833	NM_166581
FBgn0033979	Cyp6a19	NM_001299505
FBgn0033979	Cyp6a19	NM_137157
FBgn0033097	Zip42C.2	NM_136387
FBgn0085397	Fili	NM_001103932
FBgn0085397	Fili	NA
FBgn0085397	Fili	NM_137775
FBgn0263144	bin3	NM_165468
FBgn0263144	bin3	NM_078902
FBgn0263144	bin3	NM_001316407
FBgn0263144	bin3	NM_001273795
FBgn0266324	asRNA:CR44989	NA
FBgn0261453	scaRNA:MeU2-C41	NA
FBgn0036188	CG7339	NM_001274791
FBgn0036188	CG7339	NM_140233
FBgn0036677	CG13023	NM_140678
FBgn0036677	CG13023	NM_001300161
FBgn0286033	lncRNA:CR46353	NA
FBgn0053375	5SrRNA:CR33375	NA
FBgn0086347	Myo31DF	NM_001201855
FBgn0086347	Myo31DF	NM_164933
FBgn0086347	Myo31DF	NM_078814
FBgn0086601	snoRNA:Psi28S-3327c	NA
FBgn0020300	geko	NM_080241
FBgn0052370	tRNA:Ala-AGC-2-1	NA
FBgn0034363	CG5327	NM_166297
FBgn0037082	CG5664	NM_141057
FBgn0037082	CG5664	NM_001275229
FBgn0053514	CG33514	NM_001014558
FBgn0261792	snRNP-U1-C	NM_142510
FBgn0052452	CG32452	NM_001300219
FBgn0052452	CG32452	NM_168957
FBgn0052452	CG32452	NM_168956
FBgn0051663	CG31663	NM_164444
FBgn0051663	CG31663	NM_001258914
FBgn0051663	CG31663	NM_001272955
FBgn0040606	CG6503	NM_144001
FBgn0040606	CG6503	NM_001260386
FBgn0040606	CG6503	NM_001202368
FBgn0037709	CG8199	NM_141648
FBgn0030870	CG6398	NM_133016
FBgn0030870	CG6398	NM_001298462
FBgn0051106	CG31106	NM_170207
FBgn0267067	lncRNA:CR45511	NA
FBgn0034687	CG11475	NM_137789
FBgn0034527	CG9945	NM_166403
FBgn0034527	CG9945	NM_137650
FBgn0033167	CG1701	NM_001103739
FBgn0033167	CG1701	NM_001273838
FBgn0039131	CG12268	NM_142940
FBgn0039131	CG12268	NM_001260343
FBgn0039131	CG12268	NM_176550
FBgn0053795	CG33795	NM_001031958
FBgn0000179	bi	NM_001297932
FBgn0000179	bi	NM_001272309
FBgn0000179	bi	NM_001169191
FBgn0000179	bi	NM_001258599
FBgn0000179	bi	NM_001258598
FBgn0000179	bi	NM_080331
FBgn0000179	bi	NM_001169192
FBgn0032124	CG17855	NM_135450
FBgn0011859	tRNA:Gly-GCC-1-1	NA
FBgn0003162	Pu	NM_079077
FBgn0003162	Pu	NM_166431
FBgn0003162	Pu	NM_166430
FBgn0000810	fs(1)K10	NM_058143
FBgn0013323	Ptth	NM_001298621
FBgn0013323	Ptth	NM_001316375
FBgn0013323	Ptth	NM_134693
FBgn0035279	Cpr62Ba	NM_139409
FBgn0035279	Cpr62Ba	NM_001144396
FBgn0030725	CG8958	NM_132877
FBgn0264996	asRNA:CR44147	NA
FBgn0266435	CG45065	NM_001298322
FBgn0003046	Pcp	NM_057325
FBgn0267686	lncRNA:CR46022	NA
FBgn0035139	CG13891	NM_138192
FBgn0033214	CG1941	NM_001299233
FBgn0033214	CG1941	NM_001299232
FBgn0033214	CG1941	NM_001299234
FBgn0033214	CG1941	NM_136473
FBgn0259864	Su(Ste):CR42433	NA
FBgn0031295	CG4375	NM_164402
FBgn0033392	CG8027	NM_136625
FBgn0265883	lncRNA:CR44672	NA
FBgn0265718	lncRNA:CR44525	NA
FBgn0265910	lncRNA:CR44699	NA
FBgn0266901	lncRNA:CR45361	NA
FBgn0050187	CG30187	NM_001259546
FBgn0050187	CG30187	NM_166570
FBgn0031018	narya	NM_133155
FBgn0037777	CG11722	NM_141713
FBgn0053834	His1:CG33834	NM_001032163
FBgn0046685	Wsck	NM_170155
FBgn0022942	Cbp80	NM_080011
FBgn0022942	Cbp80	NM_167012
FBgn0034380	Vps51	NM_137519
FBgn0259733	tal-AA	NM_001144577
FBgn0053858	His1:CG33858	NM_001032203
FBgn0266388	asRNA:CR45028	NA
FBgn0267561	lncRNA:CR45901	NA
FBgn0029830	Grip	NM_001297992
FBgn0029830	Grip	NM_001297991
FBgn0029830	Grip	NM_132057
FBgn0036868	ms(3)76Ba	NM_140852
FBgn0052274	Drsl1	NM_168027
FBgn0040235	c12.1	NM_144348
FBgn0004396	CrebA	NM_206374
FBgn0004396	CrebA	NM_079363
FBgn0040817	CG14132	NM_001104116
FBgn0028532	CG7968	NM_135840
FBgn0027594	drpr	NM_001274346
FBgn0027594	drpr	NM_001274347
FBgn0027594	drpr	NM_001274348
FBgn0027594	drpr	NM_001259620
FBgn0027594	drpr	NM_167911
FBgn0027594	drpr	NM_058102
FBgn0050360	Mal-A6	NM_165608
FBgn0050360	Mal-A6	NM_206057
FBgn0029856	CG11700	NM_132078
FBgn0038993	CG13843	NM_142812
FBgn0011566	Smyd3	NM_080029
FBgn0262971	lncRNA:CR43282	NA
FBgn0031388	CG12674	NM_001272974
FBgn0031388	CG12674	NM_134800
FBgn0264566	CG43938	NM_001275207
FBgn0032785	CG10026	NM_165302
FBgn0032785	CG10026	NM_136124
FBgn0032785	CG10026	NM_001273652
FBgn0032785	CG10026	NM_165301
FBgn0033431	CG1827	NM_136660
FBgn0265788	lncRNA:CR44577	NA
FBgn0264556	Gr39a	NM_165371
FBgn0264556	Gr39a	NM_165372
FBgn0264556	Gr39a	NM_165370
FBgn0264556	Gr39a	NM_165373
FBgn0264273	Sema2b	NM_001038863
FBgn0264273	Sema2b	NM_001144208
FBgn0264273	Sema2b	NM_001274095
FBgn0264273	Sema2b	NM_001274096
FBgn0262334	mir-992	NA
FBgn0039313	CG11892	NM_143115
FBgn0039313	CG11892	NM_170210
FBgn0004611	Plc21C	NM_205882
FBgn0004611	Plc21C	NM_057503
FBgn0004611	Plc21C	NM_205883
FBgn0004611	Plc21C	NM_001272889
FBgn0004611	Plc21C	NM_205884
FBgn0004611	Plc21C	NM_057504
FBgn0004395	unk	NM_176546
FBgn0004395	unk	NM_001260326
FBgn0004395	unk	NM_001316501
FBgn0004395	unk	NM_001260325
FBgn0004395	unk	NM_001260324
FBgn0004395	unk	NM_176545
FBgn0004395	unk	NM_001275931
FBgn0011860	tRNA:Gly-GCC-1-2	NA
FBgn0263510	nclb	NM_136779
FBgn0030556	mRNA-cap	NM_132724
FBgn0033934	CG17385	NM_137118
FBgn0033934	CG17385	NM_001299489
FBgn0004574	Rop	NM_001274475
FBgn0004574	Rop	NM_079192
FBgn0052224	asRNA:CR32224	NA
FBgn0051201	GluRIIE	NM_001043268
FBgn0266674	Sec15	NM_142685
FBgn0266871	lncRNA:CR45332	NA
FBgn0050172	CG30172	NM_001299882
FBgn0050172	CG30172	NM_166649
FBgn0036856	CG9666	NM_140841
FBgn0036856	CG9666	NM_001144501
FBgn0267767	lncRNA:CR46098	NA
FBgn0046706	Haspin	NM_001015349
FBgn0039019	HP1c	NM_142836
FBgn0086026	snoRNA:Me28S-G2596	NA
FBgn0053278	CG33278	NM_206289
FBgn0010612	ATPsynG	NM_143778
FBgn0010612	ATPsynG	NM_001042888
FBgn0010612	ATPsynG	NM_001042889
FBgn0042119	Cpr65Au	NM_001300024
FBgn0042119	Cpr65Au	NM_144404
FBgn0264360	asRNA:CR43812	NA
FBgn0039172	Spase22-23	NM_001260350
FBgn0039172	Spase22-23	NM_142977
FBgn0033539	Git	NM_136755
FBgn0264441	lncRNA:CR43859	NA
FBgn0029113	Uba2	NM_080017
FBgn0002945	nkd	NM_080049
FBgn0002945	nkd	NM_001275100
FBgn0002945	nkd	NM_001275101
