intron	gene	TPM	PSI	intron_position	intron_length	intron_type	ss5_maxEnt	ss3_maxEnt	contains_enhancer	upexon_length	downexon_length	three_length	ie_count_5m	ie_count_10m	ie_count_20m	ee_count_5m	ee_count_10m	ee_count_20m	halflife	halflife_error	accuracy
chr3R:3745126:3745523:-@chr3R:3745587:3745833:-	FBgn0037531	8.122723	0.15	1	64	CI	0.39	9.29	0	246	397	3202	20	20	10	39	59	85	1.8552734375	0.0752308999933012	0.0196078431372549
chr2R:20398377:20400694:-@chr2R:20402059:20402520:-	FBgn0019886	38.09598	0.005	NA	1365	CI	NA	NA	0	461	2317	3663	22	19	9	38	93	103	1.534375	0.0518907409235799	NA
chr3R:22688202:22688285:-@chr3R:22688359:22688432:-	FBgn0051072	10.46033	0.135	2	74	CI	10.77	4.98	0	73	83	20101	7	8	8	35	29	54	2.90078125	0.154221643491374	0.0222222222222222
chr3R:12089993:12091645:+@chr3R:12091710:12092015:+	FBgn0020407	8.07577	0.025	1	65	CI	10.22	4.77	0	1652	305	903	4	2	2	14	20	31	0.8	0.177681356680397	0.0625
chr2R:6193243:6193475:+@chr2R:6193650:6194244:+	FBgn0033504	29.70332	0.015	NA	175	CI	NA	NA	0	232	594	879	12	7	2	6	19	32	1.7453125	0.106521767506543	NA
chr2R:11581880:11581922:+@chr2R:11581982:11582133:+	FBgn0053460	18.0953	0.09	2	60	CI	8.58	7.06	0	42	151	755	2	1	0	2	6	9	0.9583984375	0.055600359122552	0.25
chr3R:18439408:18439618:+@chr3R:18439683:18439845:+	FBgn0051159	12.61368	0.11	1	65	CI	10.67	7.44	0	210	162	2661	34	24	19	12	41	62	3.7171875	0.160181950851125	0.0625
chr3R:16418861:16419766:+@chr3R:16432003:16433389:+	FBgn0023097	14.23128	0.15	NA	12237	CI	NA	NA	0	905	1386	6259	21	8	5	17	59	51	2.0140625	0.144108216301647	NA
chr2L:10431944:10432178:+@chr2L:10432242:10432922:+	FBgn0004915	71.7493	0.005	NA	64	CI	NA	NA	0	234	680	874	21	10	16	37	86	130	1.2537109375	0.0287794366045061	NA
chr2R:19431771:19432076:+@chr2R:19432148:19432424:+	FBgn0050185	82.9845	0.01	2	72	CI	6.64	2.58	0	305	276	276	104	76	42	39	86	167	3.2796875	0.0417286526233628	0.0227272727272727
chr2R:20553681:20554334:-@chr2R:20554392:20554647:-	FBgn0260456	49.8883	0.005	2	58	CI	5.2	6.19	0	255	653	653	15	11	9	16	46	75	1.59921875	0.0555608890940237	0.0384615384615385
chr2L:4994787:4994994:-@chr2L:4997114:4997381:-	FBgn0053113	157.7292	0.14	1	2120	CI	8.55	9.26	0	267	207	2186	21	4	20	3	4	11	12.93125	0.77909069649692	0.2
chr3L:17902583:17904307:-@chr3L:17904369:17904871:-	FBgn0036772	41.0869	0	3	62	CI	4.57	6.58	0	502	1724	1724	18	14	8	25	65	66	1.5990234375	0.0387107426030804	0.03125
chr2R:10118997:10120408:-@chr2R:10120470:10120634:-	FBgn0261276	130.3387	0	NA	62	CI	NA	NA	0	164	1411	2292	46	30	18	147	244	371	0.8806640625	0.0170984415376517	NA
chr3R:18947529:18947666:+@chr3R:18947735:18947893:+	FBgn0039056	39.6975	0.01	3	69	CI	9.1	11.56	0	137	158	2204	29	34	35	41	71	149	2.693359375	0.0644595167285251	0.0217391304347826
chr3L:11679825:11680659:+@chr3L:11680723:11681190:+	FBgn0036191	9.057992	0.04	3	64	RI	7.75	4.66	0	834	467	2532	8	9	5	11	17	19	2.978125	0.115433230904205	0.0625
chr3R:20580371:20585252:+@chr3R:20585313:20585614:+	FBgn0000140	20.0027	0.035	4	61	CI	10.24	6.76	0	4881	301	922	17	19	8	18	35	38	2.5734375	0.0849616010111384	0.05
chr2R:14054849:14055027:+@chr2R:14055163:14055226:+	FBgn0260392	70.5213	0.055	2	136	RI	10.1	9.97	0	178	63	722	36	32	52	46	79	123	3.434375	0.0317623272958466	0.0178571428571429
chr3R:22809998:22810156:+@chr3R:22810217:22810358:+	FBgn0039467	85.91067	0.18	4	61	CI	7.61	6.38	0	158	141	1211	18	16	18	44	72	84	1.83828125	0.0230632739444061	0.0135135135135135
chr2R:8765890:8766215:-@chr2R:8766702:8766727:-	FBgn0013305	250.3532	0.17	2	487	RI	10.47	8.2	0	25	325	1616	55	67	51	48	55	106	5.025	0.0680610305071699	0.00961538461538462
chr2R:7175150:7176065:-@chr2R:7176573:7177277:-	FBgn0033609	17.80917	0.09	1	508	CI	9.22	8.74	0	704	915	3412	47	75	37	2	11	13	25.1375	1.37412361591145	0.032258064516129
chr3R:24536660:24536843:+@chr3R:24539665:24539942:+	FBgn0027655	8.85937	0.12	11	2822	CI	10.67	7.88	0	183	277	20746	19	4	3	5	3	6	11.146875	1.94712539632859	0.0555555555555556
chr3L:325880:325974:-@chr3L:326033:326358:-	FBgn0052343	19.73546	0.03	7	59	CI	9.55	-0.95	0	325	94	989	12	16	6	10	38	77	1.787890625	0.0497171497184671	0.0909090909090909
chr2L:13445046:13445397:-@chr2L:13445480:13445651:-	FBgn0032524	22.7376	0.03	1	83	CI	10.29	5.1	0	171	351	1294	7	9	8	9	24	36	2.36796875	0.0592687716178565	0.0666666666666667
chr3R:6135621:6136240:-@chr3R:6137184:6137335:-	FBgn0037807	105.6484	0.025	1	944	CI	10.11	4.06	0	151	619	2712	49	34	33	92	107	163	2.2	0.0338674102701567	0.00909090909090909
chr2L:5548168:5548709:+@chr2L:5549017:5549419:+	FBgn0031717	32.26462	0.065	NA	308	CI	NA	NA	0	541	402	597	8	6	11	8	14	10	7.1375	0.152987887698837	NA
chr3R:7720107:7720449:-@chr3R:7720508:7720770:-	FBgn0037963	6.86	0.015	14	59	RI	8.34	7.64	0	262	342	1215	2	1	0	7	5	19	0.7138671875	0.0593212843958706	0.1
chrX:9570790:9571079:-@chrX:9571148:9575224:-	FBgn0261617	11.88325	0.025	5	69	CI	10.11	NA	0	4076	289	11604	11	2	2	66	109	125	0.5951171875	0.0823452571414889	0.0120481927710843
chrX:527935:528089:-@chrX:528158:529322:-	FBgn0020381	30.19722	0.015	NA	69	CI	NA	NA	0	1164	154	434	25	15	11	42	60	92	1.4763671875	0.0221128484830393	NA
chr3R:13499908:13500545:-@chr3R:13500611:13500733:-	FBgn0038535	117.4169	0	5	66	CI	9.31	11.27	0	122	637	1091	12	18	13	66	99	149	0.9857421875	0.018685054623309	0.0135135135135135
chr2L:13217361:13217616:-@chr2L:13217676:13218520:-	FBgn0032485	32.7511	0.02	3	60	CI	7.51	6.14	0	844	255	1326	28	37	17	45	59	90	2.5109375	0.0306228367047912	0.0227272727272727
chrX:15624185:15624506:+@chrX:15624570:15624735:+	FBgn0030674	17.79663	0.01	16	64	CI	9.07	NA	0	321	165	1398	34	24	18	43	101	97	1.9390625	0.0337169255959334	0.0217391304347826
chr3R:1650755:1651166:+@chr3R:1651221:1651310:+	FBgn0037384	20.72301	0.045	2	55	CI	5.57	7.91	0	411	89	1077	43	29	14	15	59	112	2.322265625	0.0593401533343406	0.0454545454545455
chrX:12571770:12572089:+@chrX:12572367:12573735:+	FBgn0011837	45.4936	0.015	NA	278	CI	NA	NA	0	319	1368	4220	7	8	3	25	46	74	1.0388671875	0.0596772506106924	NA
chr2R:18954796:18955364:+@chr2R:18955470:18955651:+	FBgn0021979	124.2215	0.07	1	106	CI	5.18	-3.13	0	568	181	3928	3	4	8	12	16	12	4.240625	0.151374056183763	0.0555555555555556
chr3R:20179340:20180461:+@chr3R:20180515:20180602:+	FBgn0039187	27.86991	0.015	6	54	CI	9.65	6.16	0	1121	87	1448	25	21	18	18	57	62	2.88984375	0.0485347785483012	0.0454545454545455
chr3R:1581386:1581989:-@chr3R:1582043:1582444:-	FBgn0266672	34.2621	0.025	6	54	RI	9.72	5.97	0	401	603	1335	25	26	15	31	73	91	2.058203125	0.0708841657563212	0.0303030303030303
chr2R:3347936:3348705:-@chr2R:3348761:3349848:-	FBgn0033177	32.5347	0.015	3	56	CI	9.82	3.08	0	1087	769	1515	36	27	30	24	97	157	2.242578125	0.0670179774520077	0.03125
chr3L:20021345:20021478:-@chr3L:20021746:20021909:-	FBgn0036932	74.7708	0.05	2	268	RI	6.45	6.81	0	163	133	559	18	24	24	12	19	65	4.228125	0.0590838301063389	0.0625
chrX:3770348:3770426:+@chrX:3770488:3771491:+	FBgn0028491	132.0977	0.025	7	62	CI	8.57	NA	0	78	1003	3924	39	39	33	56	106	166	2.51015625	0.0773651853714065	0.0153846153846154
chr3L:16835892:16835976:+@chr3L:16836067:16836132:+	FBgn0036666	140.003	0.05	2	91	RI	9.86	9.22	1	84	65	1618	39	31	19	46	68	108	2.324609375	0.0544004471866453	0.0192307692307692
chr3L:2477690:2478076:-@chr3L:2478146:2478448:-	FBgn0035344	40.9069	0.035	1	70	CI	7.36	7	0	302	386	1817	76	45	36	17	74	94	4.1	0.0555790423443645	0.037037037037037
chr3L:8180579:8180676:+@chr3L:8180913:8181680:+	FBgn0035850	33.4081	0.02	2	237	CI	10.74	10	0	97	767	3305	26	24	22	15	38	84	3.516796875	0.0895230917239956	0.05
chr3L:20488447:20488619:+@chr3L:20488725:20489175:+	FBgn0037001	186.2699	0.005	NA	106	CI	NA	NA	0	172	450	1459	56	32	30	39	62	110	3.054296875	0.0530608304493351	NA
chr2L:6720396:6720942:-@chr2L:6720997:6721131:-	FBgn0025777	20.62482	0.03	NA	55	CI	NA	NA	0	134	546	1548	13	22	17	25	50	72	2.471484375	0.0321469845552258	NA
chr3R:16361415:16362267:-@chr3R:16362916:16363185:-	FBgn0016917	107.537	0.025	8	649	CI	7.12	11.84	0	269	852	1222	37	7	11	74	156	212	0.7873046875	0.01667283262001	0.0112359550561798
chr3R:1621633:1621780:+@chr3R:1622151:1625716:+	FBgn0037379	17.70428	0.025	4	371	CI	10.08	9.17	0	147	3565	3565	31	18	24	61	64	100	2.380078125	0.047648938561406	0.0131578947368421
chrX:3858600:3858671:-@chrX:3858734:3858984:-	FBgn0029688	43.86534	0.04	2	63	CI	8.56	NA	0	250	71	9095	47	26	17	61	75	77	3.27734375	0.14430986704957	0.00884955752212389
chr3R:5603764:5603918:+@chr3R:5604341:5604440:+	FBgn0261599	6491.653	0.105	NA	423	CI	NA	NA	0	154	99	909	159	135	86	1157	1023	1343	0.732421875	0.00499866891733145	NA
chrX:11702539:11704496:-@chrX:11704564:11704891:-	FBgn0030336	18.55661	0.02	7	68	CI	4.89	NA	0	327	1957	1957	9	5	2	32	68	75	0.6259765625	0.0343083762906707	0.0277777777777778
chr2R:9842422:9842549:+@chr2R:9842720:9843169:+	FBgn0050481	42.6938	0.015	2	171	CI	10.57	6.7	0	127	449	449	55	30	14	20	33	56	3.33046875	0.0538679287098509	0.0416666666666667
chrX:15649380:15649595:-@chrX:15649852:15650025:-	FBgn0030685	33.60542	0.005	4	257	CI	11.08	NA	0	173	215	3888	5	1	2	41	73	89	0.3447265625	0.424349228339057	0.0196078431372549
chr3R:16930768:16932293:-@chr3R:16932358:16933475:-	FBgn0266674	21.6243	0.025	2	65	CI	4.07	11.75	0	1117	1525	1525	27	25	9	6	49	87	2.38359375	0.0612574510951128	0.0344827586206897
chr3R:19985198:19985261:-@chr3R:19985370:19986408:-	FBgn0039157	9.945297	0.045	NA	109	CI	NA	NA	0	1038	63	4713	8	16	7	7	28	40	3.02578125	0.301844430046484	NA
chr2R:5177731:5178785:-@chr2R:5178842:5179070:-	FBgn0026326	30.5955	0.01	1	57	CI	7.4	0.94	0	228	1054	2323	19	28	14	54	57	91	2.09296875	0.0170476599913783	0.0151515151515152
chr3R:11780305:11780405:+@chr3R:11780469:11780743:+	FBgn0013334	20.30092	0.03	5	64	CI	7.8	6.56	0	100	274	7377	11	8	9	15	36	46	2.59375	0.161246942430368	0.04
chr3R:7234514:7234870:-@chr3R:7234932:7235326:-	FBgn0264694	154.016	0	2	62	CI	7.7	7.38	0	394	356	356	17	18	22	54	102	216	1.101171875	0.0165961234962917	0.0153846153846154
chr3R:16927921:16928383:+@chr3R:16928445:16928640:+	FBgn0038855	39.3014	0.035	1	62	CI	6.6	8.09	0	462	195	2390	41	32	17	13	43	25	6.084375	0.226038126412369	0.0714285714285714
chrX:17039049:17039165:-@chrX:17040831:17041239:-	FBgn0002590	3818.1804	0.01	NA	1666	CI	NA	NA	0	408	116	1544	36	34	40	490	538	773	0.48603515625	0.00448113449990624	NA
chr3L:14038556:14038856:-@chr3L:14038911:14039735:-	FBgn0041161	6.4051	0.025	6	55	CI	8.07	2.08	0	824	300	2062	5	5	3	16	42	50	0.9099609375	0.0666029593929348	0.05
chr3L:21818065:21818177:+@chr3L:21818350:21819514:+	FBgn0037135	183.7637	0.015	1	173	CI	8.28	7.37	0	112	1164	2606	70	82	70	48	82	129	5.4515625	0.0814090990384367	0.0163934426229508
chr2L:5307565:5307912:+@chr2L:5308021:5311223:+	FBgn0016076	7.297605	0.02	NA	109	CI	NA	NA	0	347	3202	3202	14	9	6	31	48	84	1.2970703125	0.0501530994813561	NA
chr3R:19976138:19977467:-@chr3R:19977568:19977687:-	FBgn0015765	52.63964	0.045	1	101	CI	11.08	7.63	0	119	1329	1329	43	24	24	44	77	131	2.12421875	0.0466242024816827	0.02
chr3L:3333119:3333692:-@chr3L:3333745:3333925:-	FBgn0035440	114.924	0.005	4	53	CI	6.45	6.76	0	180	573	573	38	33	21	49	92	124	1.987109375	0.032084856533867	0.0204081632653061
chr2R:13423960:13424084:+@chr2R:13424201:13424516:+	FBgn0034237	365.4563	0.01	2	117	CI	4.51	6.43	0	124	315	2446	140	95	96	396	476	651	1.5373046875	0.019279200481547	0.00261780104712042
chr2L:4844169:4844646:-@chr2L:4844712:4844772:-	FBgn0031637	17.64325	0.03	5	66	CI	6.43	4.95	0	60	477	3164	23	11	15	13	52	55	2.779296875	0.130794928678659	0.0434782608695652
chr3R:8267149:8267330:+@chr3R:8270521:8270840:+	FBgn0086687	453.4301	0.165	1	3191	CI	7.97	4.58	1	181	319	2817	23	30	17	79	138	233	1.20234375	0.0381071544356703	0.110294117647059
chr3L:4325061:4325383:-@chr3L:4326984:4327170:-	FBgn0035533	50.97665	0.105	7	1601	RI	9.16	-3.33	0	186	322	2892	71	104	124	10	38	72	14.8625	0.329469961801022	0.027027027027027
chr3R:12971649:12971774:-@chr3R:12971842:12972385:-	FBgn0038488	9.55746	0.105	4	68	CI	4.37	0.37	0	543	125	1577	10	15	16	16	33	45	3.1953125	0.110597160174437	0.0476190476190476
chr2R:13629828:13629938:+@chr2R:13629995:13630318:+	FBgn0034271	12.1935	0.025	7	57	CI	4.88	7.7	0	110	323	1479	19	18	16	28	52	83	2.1484375	0.0498329806278127	0.0277777777777778
chrX:21192932:21193180:-@chrX:21194158:21195036:-	FBgn0029067	20.81816	0.08	1	978	CI	8.56	NA	0	878	248	2362	8	8	23	16	17	48	3.92890625	0.102517677168108	0.0909090909090909
chr2R:9094250:9094496:+@chr2R:9094567:9094854:+	FBgn0033806	10.62935	0.055	1	71	CI	6.99	6.21	0	246	287	3407	12	11	11	23	36	48	2.3734375	0.0818423751528493	0.03125
chr2L:2973166:2973368:+@chr2L:2973429:2974858:+	FBgn0260639	40.5394	0.01	2	61	CI	10.47	4.6	0	202	1429	1429	13	10	13	13	29	39	2.97734375	0.0828702649195367	0.0526315789473684
chr3L:235410:235514:-@chr3L:235579:236074:-	FBgn0000541	33.321019797	0.01	9	65	RI	11.34	3.7	0	495	104	1588	17	15	6	27	40	41	1.95546875	0.0395673967370689	0.0333333333333333
chr2R:20149449:20149631:+@chr2R:20149687:20151004:+	FBgn0034997	88.23826	0.005	2	56	RI	10.13	-2.8	0	182	1317	3049	2	6	4	9	23	38	1.389453125	0.0590890293413041	0.0714285714285714
chr2R:12091947:12092259:-@chr2R:12092330:12092536:-	FBgn0034091	30.10974	0.015	5	71	RI	10.03	9.69	0	206	312	1425	7	2	2	47	91	127	0.3076171875	0.0096013527235017	0.0169491525423729
chr3L:20430354:20430975:+@chr3L:20431040:20431470:+	FBgn0036991	13.08116	0.01	NA	65	CI	NA	NA	0	621	430	430	9	6	8	15	31	52	1.526953125	0.0333184542826624	NA
chr2R:13424575:13426127:+@chr2R:13426199:13426647:+	FBgn0034237	365.4563	0.005	NA	72	CI	NA	NA	0	1552	448	448	64	56	29	117	220	301	1.35625	0.0133598802457355	NA
chr3R:10496222:10496564:-@chr3R:10497094:10497245:-	FBgn0265140	149.5224	0.02	4	530	CI	6.43	12.66	0	151	342	5935	134	72	43	163	269	363	2.20234375	0.0453110033277728	0.0099009900990099
chr2L:19553976:19556092:+@chr2L:19556162:19556451:+	FBgn0041180	95.83198	0.01	7	70	CI	10.75	6.71	0	2116	289	289	45	37	35	124	277	342	1.044921875	0.0131027695437152	0.00847457627118644
chr2L:2740140:2740211:+@chr2L:2740389:2740473:+	FBgn0031450	55.9046	0.065	NA	178	CI	NA	NA	0	71	84	2988	41	25	27	81	163	319	1.3064453125	0.0273976403475661	NA
chrX:7182400:7183297:-@chrX:7183539:7183711:-	FBgn0025549	24.573	0.115	NA	242	CI	NA	NA	0	172	897	897	19	18	4	7	30	40	2.2796875	0.0725003928689068	NA
chr3L:9330098:9330321:+@chr3L:9330554:9330760:+	FBgn0035975	32.14302	0.09	4	233	RI	4.2	5.15	0	223	206	882	28	17	23	3	13	29	7.1828125	0.195142912485703	0.166666666666667
chr2RHet:203349:203475:+@chr2RHet:207045:207864:+	FBgn0003256	139.7075	0.16	NA	3570	CI	NA	NA	0	126	819	45596	76	39	34	332	434	484	3.05625	0.156627668572637	NA
chrXHet:77098:77373:+@chrXHet:77432:77831:+	FBgn0003559	42.49002	0.01	NA	59	CI	NA	NA	0	275	399	2817	33	28	22	65	126	157	1.6953125	0.0271623758933383	NA
chr2L:10201004:10201148:+@chr2L:10201230:10201528:+	FBgn0005593	5623.21	0.19	1	82	RI	8.54	10.58	1	144	298	1091	290	249	226	1801	1697	2404	0.9251953125	0.0033954803345733	0.000548847420417124
chr2L:12709375:12710225:-@chr2L:12710362:12712531:-	FBgn0032454	65.04818	0.015	NA	137	RI	NA	NA	0	2169	850	1433	36	28	28	34	78	142	2.314453125	0.0384650987134772	NA
chr4:157505:157793:+@chr4:157849:157958:+	FBgn0052000	46.00939	0.02	3	56	CI	8.07	0.37	0	288	109	5900	54	17	8	128	171	189	1.1234375	0.0387533119454383	0.00704225352112676
chr3L:15001035:15001090:-@chr3L:15004293:15004864:-	FBgn0036463	77.7167	0.185	2	3203	CI	11.01	11.64	0	571	55	6752	22	5	10	194	291	355	0.43525390625	0.0359508014333188	0.00904977375565611
chr3R:7259894:7261021:-@chr3R:7261084:7261425:-	FBgn0037901	38.3938	0.01	NA	63	CI	NA	NA	0	341	1127	1811	15	12	5	53	49	75	1.1466796875	0.0260270548199544	NA
chr3R:12901225:12901907:-@chr3R:12901967:12902224:-	FBgn0038475	6.16254	0.06	3	60	CI	8.66	-1	0	257	682	2243	30	22	10	14	45	59	2.683203125	0.0821909098528231	0.0555555555555556
chrX:2225959:2226172:-@chrX:2227353:2228691:-	FBgn0044047	72.73844	0.035	1	1181	CI	10.74	9.97	1	1338	213	646	2	0	4	1	6	11	2.2828125	0.128754316502446	0.333333333333333
chr3L:14025833:14025997:+@chr3L:14026057:14026783:+	FBgn0036402	45.4951	0.005	3	60	CI	3.64	2.82	0	164	726	1952	23	15	7	62	68	164	1.069140625	0.0239957743562792	0.0204081632653061
chr3R:18555539:18555601:+@chr3R:18555669:18556598:+	FBgn0266409	50.84285	0.02	NA	68	CI	NA	NA	0	62	929	2415	8	8	5	32	61	91	0.8775390625	0.0303192837215242	NA
chr3L:20232963:20233632:-@chr3L:20234219:20234618:-	FBgn0036958	31.06312	0.09	1	587	CI	3.93	6.52	0	399	669	7359	40	28	26	4	9	11	22.25	1.87323111005201	0.0212765957446809
chr3R:19584061:19584250:+@chr3R:19584497:19584640:+	FBgn0039111	50.52028	0.065	1	247	CI	8.46	3.58	0	189	143	831	26	19	45	16	22	93	4.6359375	0.0640956918798481	0.0434782608695652
chr3R:19115953:19117150:-@chr3R:19117218:19117375:-	FBgn0003118	255.7435	0.01	NA	68	CI	NA	NA	0	157	1197	1197	48	31	15	282	475	608	0.46337890625	0.0120258868705752	NA
chr3L:16889508:16889699:+@chr3L:16889904:16890280:+	FBgn0261565	13.12161	0.12	3	205	CI	10.28	11.33	0	191	376	25683	1	3	0	5	3	4	3.99765625	0.809581570741769	0.166666666666667
chr2R:5056361:5056736:-@chr2R:5056798:5057291:-	FBgn0015477	30.9523	0.005	18	62	CI	7.64	8.82	0	493	375	1468	28	13	8	32	80	79	1.4359375	0.0536608273190357	0.025
