study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_aspera	sample_title
PRJNA275011	SAMN03338618	SRS841763	SRX870877	SRR1795574	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795574/SRR1795574_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795574/SRR1795574_2.fastq.gz	ClutchA_polyA_19.5_hpf
PRJNA275011	SAMN03338564	SRS841761	SRX870878	SRR1795575	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795575/SRR1795575_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795575/SRR1795575_2.fastq.gz	ClutchA_polyA_20_hpf
PRJNA275011	SAMN03338670	SRS841762	SRX870879	SRR1795576	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795576/SRR1795576_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795576/SRR1795576_2.fastq.gz	ClutchA_polyA_20.5_hpf
PRJNA275011	SAMN03338640	SRS841760	SRX870880	SRR1795577	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795577/SRR1795577_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795577/SRR1795577_2.fastq.gz	ClutchA_polyA_21_hpf
PRJNA275011	SAMN03338557	SRS841770	SRX870881	SRR1795578	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795578/SRR1795578_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795578/SRR1795578_2.fastq.gz	ClutchA_polyA_21.5_hpf
PRJNA275011	SAMN03338697	SRS841758	SRX870882	SRR1795579	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795579/SRR1795579_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795579/SRR1795579_2.fastq.gz	ClutchA_polyA_22_hpf
PRJNA275011	SAMN03338632	SRS841759	SRX870883	SRR1795580	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795580/SRR1795580_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795580/SRR1795580_2.fastq.gz	ClutchA_polyA_22.5_hpf
PRJNA275011	SAMN03338620	SRS841764	SRX870884	SRR1795581	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795581/SRR1795581_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795581/SRR1795581_2.fastq.gz	ClutchA_polyA_23_hpf
PRJNA275011	SAMN03338548	SRS841757	SRX870885	SRR1795582	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795582/SRR1795582_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795582/SRR1795582_2.fastq.gz	ClutchA_polyA_23.5_hpf
PRJNA275011	SAMN03338606	SRS841756	SRX870886	SRR1795583	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795583/SRR1795583_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795583/SRR1795583_2.fastq.gz	ClutchA_polyA_24_hpf
PRJNA275011	SAMN03338549	SRS841769	SRX870887	SRR1795584	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795584/SRR1795584_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795584/SRR1795584_2.fastq.gz	ClutchA_polyA_25_hpf
PRJNA275011	SAMN03338687	SRS841768	SRX870888	SRR1795585	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795585/SRR1795585_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795585/SRR1795585_2.fastq.gz	ClutchA_polyA_26_hpf
PRJNA275011	SAMN03338560	SRS841754	SRX870889	SRR1795586	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795586/SRR1795586_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795586/SRR1795586_2.fastq.gz	ClutchA_polyA_27_hpf
PRJNA275011	SAMN03338691	SRS841753	SRX870890	SRR1795587	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795587/SRR1795587_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795587/SRR1795587_2.fastq.gz	ClutchA_polyA_28_hpf
PRJNA275011	SAMN03338627	SRS841750	SRX870891	SRR1795588	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795588/SRR1795588_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795588/SRR1795588_2.fastq.gz	ClutchA_polyA_29_hpf
PRJNA275011	SAMN03338688	SRS841749	SRX870892	SRR1795589	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795589/SRR1795589_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795589/SRR1795589_2.fastq.gz	ClutchA_polyA_30_hpf
PRJNA275011	SAMN03338665	SRS841745	SRX870893	SRR1795590	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795590/SRR1795590_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795590/SRR1795590_2.fastq.gz	ClutchA_polyA_31_hpf
PRJNA275011	SAMN03338622	SRS841752	SRX870894	SRR1795591	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795591/SRR1795591_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795591/SRR1795591_2.fastq.gz	ClutchA_polyA_32_hpf
PRJNA275011	SAMN03338696	SRS841744	SRX870895	SRR1795592	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795592/SRR1795592_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795592/SRR1795592_2.fastq.gz	ClutchA_polyA_33_hpf
PRJNA275011	SAMN03338524	SRS841748	SRX870896	SRR1795593	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795593/SRR1795593_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795593/SRR1795593_2.fastq.gz	ClutchA_polyA_34_hpf
PRJNA275011	SAMN03338645	SRS841743	SRX870897	SRR1795594	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795594/SRR1795594_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795594/SRR1795594_2.fastq.gz	ClutchA_polyA_35_hpf
PRJNA275011	SAMN03338546	SRS841742	SRX870898	SRR1795595	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795595/SRR1795595_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795595/SRR1795595_2.fastq.gz	ClutchA_polyA_36_hpf
PRJNA275011	SAMN03338689	SRS841740	SRX870899	SRR1795596	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795596/SRR1795596_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795596/SRR1795596_2.fastq.gz	ClutchA_polyA_37_hpf
PRJNA275011	SAMN03338575	SRS841739	SRX870900	SRR1795597	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795597/SRR1795597_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795597/SRR1795597_2.fastq.gz	ClutchA_polyA_38_hpf
PRJNA275011	SAMN03338686	SRS841755	SRX870901	SRR1795598	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795598/SRR1795598_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795598/SRR1795598_2.fastq.gz	ClutchA_polyA_39_hpf
PRJNA275011	SAMN03338684	SRS841741	SRX870902	SRR1795599	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795599/SRR1795599_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795599/SRR1795599_2.fastq.gz	ClutchA_polyA_40_hpf
PRJNA275011	SAMN03338626	SRS841738	SRX870903	SRR1795600	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795600/SRR1795600_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795600/SRR1795600_2.fastq.gz	ClutchA_polyA_41_hpf
PRJNA275011	SAMN03338653	SRS841736	SRX870904	SRR1795601	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795601/SRR1795601_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795601/SRR1795601_2.fastq.gz	ClutchA_polyA_42_hpf
PRJNA275011	SAMN03338558	SRS841735	SRX870905	SRR1795602	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795602/SRR1795602_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795602/SRR1795602_2.fastq.gz	ClutchA_polyA_44_hpf
PRJNA275011	SAMN03338591	SRS841737	SRX870906	SRR1795603	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795603/SRR1795603_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795603/SRR1795603_2.fastq.gz	ClutchA_polyA_45_hpf
PRJNA275011	SAMN03338651	SRS841751	SRX870907	SRR1795604	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795604/SRR1795604_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795604/SRR1795604_2.fastq.gz	ClutchA_polyA_46_hpf
