study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_title
PRJEB12982	SAMEA3892014	ERS1079148	ERX1512948	ERR1442571	7955	Danio rerio	Illumina HiSeq 2500	16564929	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442571/ERR1442571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442571/ERR1442571_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442571/ERR1442571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442571/ERR1442571_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#11.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#11.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#11.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#11.cram.crai	ZMP_phenotype_117_A
PRJEB12982	SAMEA3892015	ERS1079149	ERX1512949	ERR1442572	7955	Danio rerio	Illumina HiSeq 2500	16564941	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442572/ERR1442572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442572/ERR1442572_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442572/ERR1442572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442572/ERR1442572_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#12.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#12.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#12.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#12.cram.crai	ZMP_phenotype_117_C
PRJEB12982	SAMEA3892016	ERS1079150	ERX1512950	ERR1442573	7955	Danio rerio	Illumina HiSeq 2500	16564953	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442573/ERR1442573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442573/ERR1442573_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442573/ERR1442573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442573/ERR1442573_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#13.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#13.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#13.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#13.cram.crai	ZMP_phenotype_117_D
PRJEB12982	SAMEA3892017	ERS1079151	ERX1512951	ERR1442574	7955	Danio rerio	Illumina HiSeq 2500	16564965	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442574/ERR1442574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442574/ERR1442574_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442574/ERR1442574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442574/ERR1442574_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#14.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#14.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#14.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#14.cram.crai	ZMP_phenotype_117_E
PRJEB12982	SAMEA3892018	ERS1079152	ERX1512952	ERR1442575	7955	Danio rerio	Illumina HiSeq 2500	16564977	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442575/ERR1442575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442575/ERR1442575_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442575/ERR1442575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442575/ERR1442575_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#15.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#15.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#15.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#15.cram.crai	ZMP_phenotype_117_F
PRJEB12982	SAMEA3892019	ERS1079153	ERX1512953	ERR1442576	7955	Danio rerio	Illumina HiSeq 2500	16564989	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442576/ERR1442576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442576/ERR1442576_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442576/ERR1442576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442576/ERR1442576_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#16.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#16.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#16.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#16.cram.crai	ZMP_phenotype_118_B
PRJEB12982	SAMEA3892020	ERS1079154	ERX1512954	ERR1442577	7955	Danio rerio	Illumina HiSeq 2500	16564906	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442577/ERR1442577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442577/ERR1442577_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442577/ERR1442577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442577/ERR1442577_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#17.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#17.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#17.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#17.cram.crai	ZMP_phenotype_118_C
PRJEB12982	SAMEA3892021	ERS1079155	ERX1512955	ERR1442578	7955	Danio rerio	Illumina HiSeq 2500	16564918	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442578/ERR1442578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442578/ERR1442578_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442578/ERR1442578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442578/ERR1442578_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#18.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#18.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#18.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#18.cram.crai	ZMP_phenotype_118_D
PRJEB12982	SAMEA3892023	ERS1079157	ERX1512956	ERR1442579	7955	Danio rerio	Illumina HiSeq 2500	16564930	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442579/ERR1442579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442579/ERR1442579_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442579/ERR1442579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442579/ERR1442579_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#19.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#19.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#19.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#19.cram.crai	ZMP_phenotype_118_E
PRJEB12982	SAMEA3892024	ERS1079158	ERX1512957	ERR1442580	7955	Danio rerio	Illumina HiSeq 2500	16564942	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442580/ERR1442580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442580/ERR1442580_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442580/ERR1442580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442580/ERR1442580_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#20.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#20.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#20.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#20.cram.crai	ZMP_phenotype_118_F
PRJEB12982	SAMEA3892025	ERS1079159	ERX1512958	ERR1442581	7955	Danio rerio	Illumina HiSeq 2500	16564954	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442581/ERR1442581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442581/ERR1442581_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442581/ERR1442581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442581/ERR1442581_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#21.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#21.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#21.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#21.cram.crai	ZMP_phenotype_119_A
PRJEB12982	SAMEA3892026	ERS1079160	ERX1512959	ERR1442582	7955	Danio rerio	Illumina HiSeq 2500	16564966	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442582/ERR1442582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442582/ERR1442582_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442582/ERR1442582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442582/ERR1442582_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#22.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#22.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#22.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#22.cram.crai	ZMP_phenotype_119_B
PRJEB12982	SAMEA3892028	ERS1079162	ERX1512960	ERR1442583	7955	Danio rerio	Illumina HiSeq 2500	16564978	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442583/ERR1442583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442583/ERR1442583_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442583/ERR1442583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442583/ERR1442583_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#23.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#23.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#23.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#23.cram.crai	ZMP_phenotype_119_C
PRJEB12982	SAMEA3892029	ERS1079163	ERX1512961	ERR1442584	7955	Danio rerio	Illumina HiSeq 2500	16564990	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442584/ERR1442584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442584/ERR1442584_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442584/ERR1442584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442584/ERR1442584_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#24.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#24.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#24.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#24.cram.crai	ZMP_phenotype_119_D
PRJEB12982	SAMEA3892030	ERS1079164	ERX1512962	ERR1442585	7955	Danio rerio	Illumina HiSeq 2500	16564907	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442585/ERR1442585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442585/ERR1442585_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442585/ERR1442585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442585/ERR1442585_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#25.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#25.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#25.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#25.cram.crai	ZMP_phenotype_119_E
PRJEB12982	SAMEA3892031	ERS1079165	ERX1512963	ERR1442586	7955	Danio rerio	Illumina HiSeq 2500	16564919	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442586/ERR1442586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442586/ERR1442586_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442586/ERR1442586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442586/ERR1442586_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#26.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#26.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#26.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#26.cram.crai	ZMP_phenotype_120_A
PRJEB12982	SAMEA3892032	ERS1079166	ERX1512964	ERR1442587	7955	Danio rerio	Illumina HiSeq 2500	16564931	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442587/ERR1442587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442587/ERR1442587_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442587/ERR1442587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442587/ERR1442587_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#27.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#27.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#27.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#27.cram.crai	ZMP_phenotype_120_B
